universe,config,mode,regime,seconds,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_net_long,val_net_short,val_cost_share,val_maxdd,val_hold_days,val_funding,val_syms_positive,val_syms_n
crypto,MR-RSI2(th=10),portfolio,base,0.2,34,28.0,0.9444530073732854,0.027778029628626043,1.081298133410969,0.7647058823529411,16,10.0,-1.1063299348843199,-0.06914562093026999,0.8888689020787666,0.5,"[-1.0043119599193788, 0.8324917549489375]",0.564,-3.768160798089674,-5.84504005926603,1,6,-1.1063299348843199,0.0,0.022125789028602214,3.571627956374904,3.25,-0.15599999999999997,1.0,3.0
crypto,MR-RSI2(th=10),portfolio,adverse,0.1,34,28.0,0.6453916606166641,0.018982107665196004,1.0551352971526209,0.7647058823529411,16,10.0,-1.24978888567979,-0.07811180535498688,0.8754301455708793,0.5,"[-1.014017441374782, 0.8240147811564099]",0.571,-3.903083755513826,-5.963539316097833,1,6,-1.24978888567979,0.0,0.038625173831814325,3.6212050905580546,3.25,-0.15599999999999997,1.0,3.0
crypto,MR-RSI2(th=10),account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-RSI2(th=10),account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-RSI2(th=5),portfolio,base,0.1,19,16.0,8.576560336413234,0.4513979124428018,2.622863274084198,0.8421052631578947,14,11.0,0.25288466741298365,0.018063190529498833,1.0383210968206957,0.6428571428571429,"[-0.9712631699256851, 0.7530934500296059]",0.512,-2.384580409810721,-4.485825456968727,1,6,0.25288466741298365,0.0,0.024744902840662095,3.3014287808562868,3.2142857142857144,-0.13499999999999998,2.0,3.0
crypto,MR-RSI2(th=5),portfolio,adverse,0.1,19,16.0,8.41229951383197,0.4427526059911563,2.5795823182797393,0.7894736842105263,14,11.0,0.1302881976587411,0.009306299832767222,1.019597256081519,0.6428571428571429,"[-0.9806663947093162, 0.7446437768720242]",0.522,-2.498645160205647,-4.583462232759302,1,6,0.1302881976587411,0.0,0.04309874422932873,3.326168422184507,3.2142857142857144,-0.13499999999999998,2.0,3.0
crypto,MR-RSI2(th=5),account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-RSI2(th=5),account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-BB(k=2.0),portfolio,base,0.1,4,4.0,5.231483545885235,1.3078708864713087,inf,1.0,6,4.0,3.2146360960919953,0.5357726826819992,1.604882420359948,0.5,,,-1.9481853004004526,-5.314480943551079,1,6,3.2146360960919953,0.0,0.008693673762464207,5.314480943551079,6.5,-0.11699999999999999,2.0,3.0
crypto,MR-BB(k=2.0),portfolio,adverse,0.1,4,4.0,5.198409754417763,1.2996024386044407,inf,1.0,6,4.0,3.160612383485552,0.5267687305809253,1.5915668617901322,0.5,,,-1.993169720869166,-5.3427813280839755,1,6,3.160612383485552,0.0,0.015073167017609237,5.3427813280839755,6.5,-0.11699999999999999,2.0,3.0
crypto,MR-BB(k=2.0),account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-BB(k=2.0),account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-BB(k=2.5),portfolio,base,0.1,2,2.0,3.468985902456354,1.734492951228177,inf,1.0,3,3.0,-0.9432779754240965,-0.31442599180803216,0.7191786766419649,0.3333333333333333,,,-3.3589969741060495,-3.3589969741060495,1,6,-0.9432779754240965,0.0,0.015777518992967,3.3589969741060495,5.666666666666667,-0.05099999999999999,1.0,2.0
crypto,MR-BB(k=2.5),portfolio,adverse,0.1,2,2.0,3.452278323760125,1.7261391618800626,inf,1.0,3,3.0,-0.9724497748335978,-0.3241499249445326,0.712265691867859,0.3333333333333333,,,-3.3796796118834878,-3.3796796118834878,1,6,-0.9724497748335978,0.0,0.02795156937541859,3.3796796118834878,5.666666666666667,-0.05099999999999999,1.0,2.0
crypto,MR-BB(k=2.5),account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-BB(k=2.5),account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-3DOWN,portfolio,base,0.1,24,21.0,11.71029224813674,0.48792884367236417,2.9822102237216113,0.75,13,7.0,0.3730958246439193,0.028699678818763025,1.0448080999460672,0.5384615384615384,"[-1.238902525029505, 0.9865826791725173]",0.502,-2.654850306759829,-4.487388777191851,1,6,0.3730958246439193,0.0,0.01858886533762688,4.475326118474648,4.0,-0.15599999999999997,1.0,3.0
crypto,MR-3DOWN,portfolio,adverse,0.1,24,21.0,11.504863050517814,0.4793692937715756,2.926171019020734,0.7083333333333334,13,7.0,0.25288400174689263,0.01945261551899174,1.0301199516762731,0.46153846153846156,"[-1.249766272373494, 0.977618353176087]",0.516,-2.7664528985843577,-4.582615346117712,1,6,0.25288400174689263,0.0,0.03259741908572271,4.509393809697455,4.0,-0.15599999999999997,1.0,3.0
crypto,MR-3DOWN,account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-3DOWN,account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,MR-SHORT-RSI2(th=90),portfolio,base,0.2,12,12.0,-1.5534341149909803,-0.12945284291591502,0.7492472241184404,0.5833333333333334,34,27.0,5.199884763469271,0.1529377871608609,1.443955831000737,0.7352941176470589,"[-0.26369806586712835, 0.5232994846811796]",0.235,3.8062083563770424,2.5598084125296445,3,6,0.0,5.199884763469271,0.02453630783130934,5.823439804026243,3.2058823529411766,0.364665498,3.0,3.0
crypto,MR-SHORT-RSI2(th=90),portfolio,adverse,0.2,12,12.0,-1.6694597748561266,-0.1391216479046772,0.7331443709185396,0.5833333333333334,34,27.0,4.895795385018446,0.14399398191230725,1.4141927030564498,0.7352941176470589,"[-0.27357522244418403, 0.5150274970630281]",0.243,3.509839217999585,2.2711885700918275,3,6,0.0,4.895795385018446,0.043016548780603146,5.862216308224147,3.2058823529411766,0.364665498,2.0,3.0
crypto,MR-SHORT-RSI2(th=90),account,base,0.1,2,2.0,0.5816765245732011,0.29083826228660054,inf,1.0,2,2.0,-0.6614218939372863,-0.33071094696864317,0.29479776397720525,0.5,,,-0.9379180328008868,-0.9379180328008868,0,6,0.0,-0.6614218939372863,0.07753314272898645,0.9379180328008868,2.5,0.017884413015100003,0.0,1.0
crypto,MR-SHORT-RSI2(th=90),account,adverse,0.1,0,,0.0,,,,2,2.0,-0.6787916707715562,-0.3393958353857781,0.28465145371788425,0.5,,,-0.9488964146211567,-0.9488964146211567,0,6,0.0,-0.6787916707715562,0.14367534194217532,0.9488964146211567,2.5,0.017884413015100003,0.0,1.0
crypto,"MOM-RS(60,top5)",portfolio,base,0.1,24,20.0,16.912822744123712,0.7047009476718213,1.8116364805250051,0.5416666666666666,8,5.0,-11.226640212897081,-1.4033300266121351,0.22780659959560418,0.125,"[-2.612511919199871, 0.6936573732825271]",0.941,-14.538637868463674,-14.538637868463674,0,6,-11.226640212897081,0.0,0.033633068318556274,14.538637868463674,8.625,-0.23744946800000005,0.0,3.0
crypto,"MOM-RS(60,top5)",portfolio,adverse,0.1,24,20.0,16.669050582134304,0.694543774255596,1.7949015999719906,0.5416666666666666,8,5.0,-11.321085362681615,-1.4151356703352018,0.22587727600320323,0.125,"[-2.624375398492482, 0.6845063729566994]",0.941,-14.62440645616348,-14.62440645616348,0,6,-11.321085362681615,0.0,0.06231237817336751,14.624406456163479,8.625,-0.23744946800000005,0.0,3.0
crypto,"MOM-RS(60,top5)",account,base,0.1,0,,0.0,,,,1,1.0,-0.9231712814741128,-0.9231712814741128,0.0,0.0,,,0.0,0.0,0,6,-0.9231712814741128,0.0,,0.9231712814741128,3.0,-0.011605589330400002,0.0,1.0
crypto,"MOM-RS(60,top5)",account,adverse,0.1,0,,0.0,,,,1,1.0,-0.9319500245538073,-0.9319500245538073,0.0,0.0,,,0.0,0.0,0,6,-0.9319500245538073,0.0,,0.9319500245538073,3.0,-0.011605589330400002,0.0,1.0
crypto,"MOM-RS(120,top5)",portfolio,base,0.1,17,17.0,12.929139580764694,0.7605376223979232,2.194279411508832,0.5882352941176471,6,4.0,-12.212087980027519,-2.0353479966712533,0.0,0.0,,,-11.202127404461377,-10.80631242277837,0,6,-12.212087980027519,0.0,,12.212087980027519,5.0,-0.102975824,0.0,3.0
crypto,"MOM-RS(120,top5)",portfolio,adverse,0.1,17,17.0,12.757360586129714,0.750432975654689,2.169030516464464,0.5882352941176471,6,4.0,-12.284484097275334,-2.0474140162125556,0.0,0.0,,,-11.261012437527302,-10.87098243475178,0,6,-12.284484097275334,0.0,,12.284484097275334,5.0,-0.102975824,0.0,3.0
crypto,"MOM-RS(120,top5)",account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,"MOM-RS(120,top5)",account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,BO(20),portfolio,base,0.1,9,7.0,20.457562454534145,2.2730624949482383,4.64753016235604,0.6666666666666666,3,3.0,-1.6006393788453062,-0.533546459615102,0.41565288204368106,0.3333333333333333,,,-2.739192732640391,-2.739192732640391,0,6,-1.6006393788453062,0.0,0.03674166477345217,2.739192732640391,7.0,-0.07001954800000001,1.0,3.0
crypto,BO(20),portfolio,adverse,0.1,9,7.0,20.32088756302629,2.25787639589181,4.597977701541836,0.6666666666666666,3,3.0,-1.6355377489829859,-0.5451792496609953,0.40866800153788024,0.3333333333333333,,,-2.765853620701294,-2.765853620701294,0,6,-1.6355377489829859,0.0,0.06788431243813489,2.765853620701294,7.0,-0.07001954800000001,1.0,3.0
crypto,BO(20),account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,BO(20),account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,BO(55),portfolio,base,0.1,9,8.0,8.867558909906045,0.9852843233228938,2.011369810220881,0.4444444444444444,1,1.0,-1.247517834916218,-1.247517834916218,0.0,0.0,,,0.0,0.0,0,6,-1.247517834916218,0.0,,1.247517834916218,5.0,-0.030975824000000006,0.0,1.0
crypto,BO(55),portfolio,adverse,0.1,9,8.0,8.736759370311265,0.9707510411456961,1.9890360590648084,0.4444444444444444,1,1.0,-1.255276798306713,-1.255276798306713,0.0,0.0,,,0.0,0.0,0,6,-1.255276798306713,0.0,,1.255276798306713,5.0,-0.030975824000000006,0.0,1.0
crypto,BO(55),account,base,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
crypto,BO(55),account,adverse,0.1,0,,0.0,,,,0,,0.0,,,,,,,,0,6,,,,,,,,
