leverage,hold_days,best_of_15_median,best_of_15_p90,median_bot,share_bots_losing,p_best_ge_175
1,1,60.593211331802,108.7731760510417,-3.151544835670002,0.5346333333333334,0.0065
1,3,107.09094140990624,176.12413009739325,-1.66134536193732,0.5122666666666666,0.102
5,1,298.40183965779937,517.3414922346049,-15.02882830169898,0.5368333333333333,0.8835
5,3,536.8528486230718,908.3926143616476,-11.608902285499646,0.5171333333333332,0.99
10,1,605.8901233050105,1067.630559934295,-26.4459138064723,0.5317333333333333,0.9875
10,3,1058.900259028475,1736.599701292733,-41.93465469202262,0.5258999999999999,0.9955
40,1,2315.3561865778474,3898.694318047717,-192.9548988224425,0.5569666666666667,1.0
40,3,3999.7275425553753,6787.838769544663,-215.2125913319817,0.5403,1.0
