config,is_base,dev_n,dev_net,dev_pf,val_n,val_net,val_pf,val_win,val_ex_best_trade,val_syms_pos
"MOM-RS(120,top5,hold20)",True,35,47.65241198483416,2.10528337678482,35,62.600607248454004,2.499054190694597,0.5428571428571428,43.6587597143278,6
"MOM-RS(90,top5,hold20)",False,42,18.835491087831763,1.3156406903566222,30,89.1862915419802,3.7756009855060766,0.6,73.05440311344913,6
"MOM-RS(150,top5,hold20)",False,21,51.7110782904794,4.39616614734904,33,73.11969588366425,2.9580976114762367,0.5757575757575758,48.138231326374225,6
"MOM-RS(120,top3,hold20)",False,34,45.8131201224109,2.11990559881719,36,52.025259884792796,1.965513880197097,0.5,33.08341235066659,6
"MOM-RS(120,top8,hold20)",False,54,36.669289159543375,1.9977186981787234,52,53.86480211942107,2.3163253585075028,0.4807692307692308,40.906927695745395,7
"MOM-RS(120,top5,hold10)",False,46,26.61803274028874,1.613297806429324,50,62.901870729201434,2.0650138941163854,0.6,52.30371909533396,7
"MOM-RS(120,top5,hold30)",False,29,1.7792094558473974,1.0387824699092048,24,75.5213091553916,3.475663695382411,0.5833333333333334,49.51242499983432,5
