universe,config,mode,regime,seconds,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_net_long,val_net_short,val_cost_share,val_maxdd,val_hold_days,val_funding,val_syms_positive,val_syms_n
stocks,MR-RSI2(th=10),portfolio,base,1.1,61,33,15.033585205228473,0.2464522164791553,1.8168576711040703,0.7377049180327869,157,89,-16.01811443306629,-0.10202620658004007,0.8074703583784952,0.554140127388535,"[-0.3258757615710684, 0.11778769165846574]",0.812,-19.261979740016645,-19.70519686737319,4,6,-16.01811443306629,0.0,0.029200342356671613,26.849464906465002,4.656050955414012,-3.143761418,21,50
stocks,MR-RSI2(th=10),portfolio,adverse,1.0,61,33,14.504216699572106,0.23777404425528043,1.7810293660032184,0.7213114754098361,157,89,-17.48739987779974,-0.11138471259745056,0.7917111247747981,0.554140127388535,"[-0.33515646554914114, 0.1085953586608454]",0.839,-20.722612761203997,-21.14968178457987,4,6,-17.48739987779974,0.0,0.05161673384201842,27.368370789676923,4.656050955414012,-3.143761418,21,50
stocks,MR-RSI2(th=10),account,base,0.9,10,10,-1.8171206510488063,-0.18171206510488064,0.6006852918904269,0.5,26,26,-7.316270821035299,-0.2813950315782807,0.35760505382342045,0.4230769230769231,"[-0.5330046116568311, -0.030686979801712342]",0.987,-8.103297071943397,-8.103297071943397,0,6,-7.316270821035299,0.0,0.07806552454130715,7.477238718839457,4.461538461538462,-0.523227134224452,8,20
stocks,MR-RSI2(th=10),account,adverse,0.9,10,10,-1.8683614183781867,-0.18683614183781866,0.5895357835625599,0.5,26,26,-7.50614653451722,-0.2886979436352777,0.343324909017185,0.4230769230769231,"[-0.5395953551179874, -0.04040294036339812]",0.988,-8.288540969833418,-8.288540969833418,0,6,-7.50614653451722,0.0,0.14254364891770388,7.655449645783702,4.461538461538462,-0.5159352841733029,8,20
stocks,MR-RSI2(th=5),portfolio,base,1.0,55,29,13.817556932339878,0.25122830786072503,1.7001842970372385,0.7090909090909091,141,86,-9.690810144603791,-0.06872914996172902,0.8743576797178547,0.5531914893617021,"[-0.3090624876926687, 0.1857539997780828]",0.67,-14.172974722403293,-16.21707267455099,4,6,-9.690810144603791,0.0,0.026237003967205456,26.93702513476057,4.695035460992908,-2.436094464,23,50
stocks,MR-RSI2(th=5),portfolio,adverse,1.0,55,29,13.33646000665409,0.24248109103007434,1.6701607886732632,0.6909090909090909,141,86,-11.020808213016501,-0.07816176037600356,0.858397688423483,0.5460992907801419,"[-0.3188530221770459, 0.1764974458554715]",0.705,-15.494071457633805,-17.529755787466613,4,6,-11.020808213016501,0.0,0.04639237050099253,27.111645482966065,4.695035460992908,-2.436094464,23,50
stocks,MR-RSI2(th=5),account,base,0.9,10,10,-1.8171206510488063,-0.18171206510488064,0.6006852918904269,0.5,22,22,-9.462994354130977,-0.4301361070059535,0.20724134084400078,0.3181818181818182,"[-0.7027019068880399, -0.16929773009094037]",0.999,-10.250020605039076,-10.250020605039076,0,6,-9.462994354130977,0.0,0.1160366818398341,9.623962251935133,4.590909090909091,-0.41406958768385205,5,17
stocks,MR-RSI2(th=5),account,adverse,0.9,10,10,-1.8683614183781867,-0.18683614183781866,0.5895357835625599,0.5,22,22,-9.623092977600498,-0.437413317163659,0.1971948199146372,0.3181818181818182,"[-0.7058996460246886, -0.1767505489544536]",0.999,-10.405487412916695,-10.405487412916695,0,6,-9.623092977600498,0.0,0.21621105731208734,9.772396088866982,4.590909090909091,-0.408932278483328,5,17
stocks,MR-BB(k=2.0),portfolio,base,1.0,21,14,14.785299705511395,0.7040618907386379,3.4810442785995157,0.6666666666666666,61,41,-20.37302072673985,-0.3339839463399975,0.6194287477527087,0.4426229508196721,"[-0.8992337067620906, 0.24072038029979698]",0.888,-25.39338967611146,-29.27456916085442,4,6,-20.37302072673985,0.0,0.023458885227546713,28.37628749133288,9.475409836065573,-2.054764798,14,34
stocks,MR-BB(k=2.0),portfolio,adverse,1.0,21,14,14.591564012634265,0.6948363815540126,3.4171109720111446,0.6666666666666666,61,41,-20.970577519489435,-0.3437799593358924,0.6109890527088877,0.4426229508196721,"[-0.9101405837861999, 0.23136862948964912]",0.896,-25.981929071591715,-29.846323654456548,4,6,-20.970577519489435,0.0,0.04176012508490372,28.499107551522435,9.475409836065573,-2.054764798,14,34
stocks,MR-BB(k=2.0),account,base,0.9,5,5,0.6614287377427063,0.13228574754854125,1.6346242944051905,0.6,13,13,-1.6822528387268556,-0.12940406451745043,0.6377389109961253,0.46153846153846156,"[-0.5084461402064002, 0.27827941799557965]",0.744,-2.888280541357895,-2.888280541357895,2,6,-1.6822528387268556,0.0,0.05632112290554994,3.7933930201207784,10.692307692307692,-0.478475032607616,6,12
stocks,MR-BB(k=2.0),account,adverse,0.9,5,5,0.6309374133970586,0.1261874826794117,1.6032569762519842,0.6,13,13,-1.8554060724643577,-0.14272354403571982,0.606267915068629,0.46153846153846156,"[-0.5192074812870014, 0.2633703893126441]",0.77,-3.0559147829756386,-3.0559147829756386,2,6,-1.8554060724643577,0.0,0.10262460446101912,3.8747916309251975,10.692307692307692,-0.470452190039174,6,12
stocks,MR-BB(k=2.5),portfolio,base,0.9,8,7,-2.1171141840883263,-0.2646392730110408,0.47042451613536745,0.5,31,23,-11.122086292918556,-0.35877697719092116,0.5253366325437661,0.4838709677419355,"[-1.0477262394375038, 0.15741806193586827]",0.909,-13.550950323390984,-13.225415196931754,4,6,-11.122086292918556,0.0,0.03129062775918922,16.024420252882837,9.935483870967742,-1.0597060499999995,10,24
stocks,MR-BB(k=2.5),portfolio,adverse,0.9,8,7,-2.1976197542512943,-0.2747024692814118,0.4568215221213204,0.5,31,23,-11.410715420459564,-0.368087594208373,0.5164448787704313,0.4838709677419355,"[-1.0576496381389477, 0.14851098156426631]",0.916,-13.83108465916754,-13.481618812878033,4,6,-11.410715420459564,0.0,0.055289111663542855,16.094682626564694,9.935483870967742,-1.0597060499999995,10,24
stocks,MR-BB(k=2.5),account,base,1.0,3,3,-1.9977633574455418,-0.6659211191485139,0.0,0.0,9,9,-0.8422148680302806,-0.09357942978114228,0.7465228006696325,0.3333333333333333,"[-0.5428710450240185, 0.41493751233597037]",0.648,-2.04824257066132,-2.04824257066132,1,6,-0.8422148680302806,0.0,0.045806661822990334,1.9535969443117598,10.88888888888889,-0.372004622283664,2,8
stocks,MR-BB(k=2.5),account,adverse,0.9,3,3,-2.0118765693547207,-0.6706255231182402,0.0,0.0,9,9,-0.9321874751317831,-0.10357638612575368,0.7241383693028053,0.3333333333333333,"[-0.5561260599378985, 0.4066810714551119]",0.659,-2.1326961856430637,-2.1326961856430637,1,6,-0.9321874751317831,0.0,0.08193096531829008,2.001756408292472,10.88888888888889,-0.37105260857839795,2,8
stocks,MR-3DOWN,portfolio,base,1.0,61,37,5.66994305017113,0.09294988606837919,1.2078116965053802,0.6721311475409836,132,86,-10.261318678432579,-0.07773726271539833,0.8560158248401903,0.553030303030303,"[-0.34929635986081425, 0.15416813224207276]",0.725,-14.743483256232079,-16.185488050105782,4,6,-10.261318678432579,0.0,0.02668587271503388,23.96961997474682,5.03030303030303,-2.588481418,23,47
stocks,MR-3DOWN,portfolio,adverse,1.0,61,37,5.118668239439874,0.08391259408917826,1.186129889198675,0.6721311475409836,132,86,-11.463923507101518,-0.08684790535682968,0.8404974974935483,0.553030303030303,"[-0.35863376009232995, 0.14524722728819914]",0.746,-15.93718675171882,-17.37090076647793,4,6,-11.463923507101518,0.0,0.046857103487432245,24.4779940850504,5.03030303030303,-2.588481418,23,47
stocks,MR-3DOWN,account,base,1.0,13,13,3.211019945352652,0.2470015342578963,2.0712992946750837,0.7692307692307693,26,26,-5.2090214743932295,-0.20034697978435498,0.4741843810043612,0.5,"[-0.444061919558617, 0.029835370054565567]",0.954,-5.94989818897324,-5.94989818897324,1,6,-5.2090214743932295,0.0,0.0734039774755041,6.9070979426101795,4.576923076923077,-0.47679007716088295,7,17
stocks,MR-3DOWN,account,adverse,1.0,13,13,3.070426351921793,0.23618664245552254,2.0181310545228413,0.7692307692307693,26,26,-5.418053016162017,-0.20838665446776988,0.4550242536381714,0.5,"[-0.44996971456300916, 0.018844806071410532]",0.962,-6.135415745322017,-6.135415745322017,1,6,-5.418053016162017,0.0,0.1322419563163066,7.018267745150179,4.576923076923077,-0.47111811697738093,6,17
stocks,MR-SHORT-RSI2(th=90),portfolio,base,1.0,49,29,1.6263328750760517,0.03319046683828677,1.1082747680482081,0.6122448979591837,107,69,7.027185952493495,0.06567463507003267,1.1205522841998576,0.5887850467289719,"[-0.23746845688807303, 0.384241833462777]",0.352,2.220514946979531,1.3983831087807745,3,6,0.0,7.027185952493495,0.0207104432620544,21.44692933038661,4.401869158878505,1.157701374,13,28
stocks,MR-SHORT-RSI2(th=90),portfolio,adverse,1.0,49,29,1.1464757745293062,0.02339746478631237,1.0751117498255216,0.6122448979591837,107,69,6.0021170304788525,0.056094551686718244,1.1020320643015773,0.5887850467289719,"[-0.24748561159742388, 0.37500096855945353]",0.37,1.2024805984130955,0.38819642934407206,3,6,0.0,6.0021170304788525,0.03667941827487542,21.60135006847721,4.401869158878505,1.157701374,13,28
stocks,MR-SHORT-RSI2(th=90),account,base,1.0,14,14,0.4442697488349774,0.03173355348821267,1.1348342790347579,0.6428571428571429,24,24,3.171616343809869,0.13215068099207786,1.494779930877904,0.5833333333333334,"[-0.20449016998001493, 0.4343980225726103]",0.222,1.4909429236742653,1.4909429236742653,4,6,0.0,3.171616343809869,0.030314475087188875,2.2138128415434224,4.375,0.29244518412725595,7,14
stocks,MR-SHORT-RSI2(th=90),account,adverse,0.9,14,14,0.28889258957944086,0.02063518496996006,1.0867814119818784,0.6428571428571429,24,24,3.0118767331811034,0.12549486388254597,1.474332980645769,0.5833333333333334,"[-0.20416216152574918, 0.42067357720176735]",0.231,1.3383532829098999,1.3383532829098999,4,6,0.0,3.0118767331811034,0.05329665622222878,2.1757470187305286,4.375,0.28706502669851997,7,14
stocks,"MOM-RS(60,top5)",portfolio,base,0.9,48,21,-14.879435137774369,-0.309988232036966,0.8110159766508401,0.3958333333333333,33,16,71.54411208522185,2.1680033965218746,2.929737572975152,0.5454545454545454,"[0.0562572171239314, 4.335258904874362]",0.022,55.41222365669079,49.829233468641725,0,6,71.54411208522185,0.0,0.004001961722509489,18.86819956853833,21.181818181818183,-2.794404516,6,8
stocks,"MOM-RS(60,top5)",portfolio,adverse,1.0,48,21,-15.373931815220292,-0.32029024615042273,0.8055486960323692,0.3958333333333333,33,16,71.21985164782666,2.158177322661414,2.9128372833343636,0.5454545454545454,"[0.0473909091165772, 4.325568934671069]",0.022,55.099209966330704,49.541443335316266,0,6,71.21985164782666,0.0,0.006997981766186294,18.93778244680112,21.181818181818183,-2.794404516,6,8
stocks,"MOM-RS(60,top5)",account,base,0.9,4,4,3.66720516380804,0.91680129095201,2.51691053475585,0.5,2,2,-0.9599645897394444,-0.4799822948697222,0.03610864195635265,0.5,,,-0.995926129774446,-0.995926129774446,0,6,-0.9599645897394444,0.0,0.46905831164312173,0.995926129774446,4.0,-0.0193086233866,1,2
stocks,"MOM-RS(60,top5)",account,adverse,0.9,4,4,3.5790282999058864,0.8947570749764716,2.4679774150881375,0.5,2,2,-0.9733362297628816,-0.4866681148814408,0.03018452116217382,0.5,,,-1.0036303307194834,-1.0036303307194834,0,6,-0.9733362297628816,0.0,0.9982042153903726,1.0036303307194834,4.0,-0.0193086233866,1,2
stocks,"MOM-RS(120,top5)",portfolio,base,1.0,35,18,47.65241198483416,1.361497485280976,2.10528337678482,0.5142857142857142,35,13,62.04133498045401,1.7726095708701146,2.485019694301217,0.5428571428571428,"[-0.5648379736501339, 4.1074609552676]",0.085,43.099487446327814,21.384608829747684,0,6,62.04133498045401,0.0,0.004451189314040579,24.189949421986014,19.514285714285716,-2.6082722680000003,6,9
stocks,"MOM-RS(120,top5)",portfolio,adverse,1.0,35,18,47.284947877615735,1.350998510789021,2.091571628879784,0.5142857142857142,35,13,61.69245555953082,1.7626415874151664,2.4704859564849677,0.5428571428571428,"[-0.5749374035332678, 4.09750603019468]",0.086,42.76241747680172,21.08400916429133,0,6,61.69245555953082,0.0,0.007824687671955571,24.25689286954981,19.514285714285716,-2.6082722680000003,6,9
