week,n,ret,gross_funding_ret,basis_ret,cost_ret,fin_ret,turnover,sel
2026-05-18 00:00:00+00:00,10,-0.00020735724986301363,0.0007722249199999998,0.0005987192000000002,-0.00096,-0.0006183013698630137,5,"xyz:BIRD,xyz:COST,xyz:HIMS,xyz:USAR,xyz:LLY,xyz:MU,xyz:BABA,xyz:INTC,xyz:TSLA,xyz:AMD"
2026-05-25 00:00:00+00:00,10,0.0012576687261369865,0.003145322096,7.46479999999998e-05,-0.001344,-0.0006183013698630137,7,"xyz:URNM,xyz:DKNG,xyz:RIVN,xyz:LLY,xyz:CRWV,xyz:SNDK,xyz:MU,xyz:INTC,xyz:META,xyz:GOOGL"
2026-06-01 00:00:00+00:00,10,0.0034497495341369853,0.003592438103999999,0.0018196128,-0.001344,-0.0006183013698630137,7,"xyz:EWZ,xyz:BIRD,xyz:DKNG,xyz:GME,xyz:BX,xyz:MRVL,xyz:CRWV,xyz:LITE,xyz:RKLB,xyz:RIVN"
2026-06-08 00:00:00+00:00,10,-0.001731206329863014,0.0017066014399999996,-0.0018595064,-0.00096,-0.0006183013698630137,5,"xyz:ZM,xyz:GME,xyz:BX,xyz:XLE,xyz:MRVL,xyz:COST,xyz:CRWV,xyz:RIVN,xyz:USAR,xyz:PLTR"
2026-06-15 00:00:00+00:00,10,0.001485006846136986,0.003403008216,4.4299999999999965e-05,-0.001344,-0.0006183013698630137,7,"xyz:URNM,xyz:EBAY,xyz:BIRD,xyz:LITE,xyz:LLY,xyz:MU,xyz:HIMS,xyz:GME,xyz:CRWV,xyz:MRVL"
2026-06-22 00:00:00+00:00,10,-0.000752235561863013,0.003705336208,-0.0030712703999999998,-0.0007679999999999999,-0.0006183013698630137,4,"xyz:EBAY,xyz:DKNG,xyz:GME,xyz:BIRD,xyz:ZM,xyz:HIMS,xyz:URNM,xyz:RIVN,xyz:LITE,xyz:RKLB"
2026-06-29 00:00:00+00:00,10,0.0027116984461369874,0.004010417416000001,0.0006635824000000002,-0.001344,-0.0006183013698630137,7,"xyz:BIRD,xyz:BB,xyz:LLY,xyz:HIMS,xyz:MSFT,xyz:GME,xyz:BABA,xyz:ASML,xyz:GOOGL,xyz:MU"
2026-07-06 00:00:00+00:00,10,0.0035258596061369866,0.004218473776,0.0006936872,-0.0007679999999999999,-0.0006183013698630137,4,"xyz:BIRD,xyz:CRCL,xyz:GME,xyz:MRVL,xyz:MU,xyz:BABA,xyz:HIMS,xyz:ASML,xyz:SNDK,xyz:DELL"
2026-07-13 00:00:00+00:00,10,-0.001243954889863014,0.00108890648,-0.00075456,-0.00096,-0.0006183013698630137,5,"xyz:BIRD,xyz:GME,xyz:XLE,xyz:EBAY,xyz:HOOD,xyz:BABA,xyz:MRVL,xyz:CRCL,xyz:EWT,xyz:NBIS"
2026-07-20 00:00:00+00:00,10,-0.0009357067298630134,0.0020545146400000004,-0.00083592,-0.0015359999999999998,-0.0006183013698630137,8,"xyz:BB,xyz:XLE,xyz:SNDK,xyz:ZM,xyz:ORCL,xyz:CRCL,xyz:STRC,xyz:MU,xyz:NOK,xyz:TSM"
2026-07-27 00:00:00+00:00,10,0.0010915604461369862,0.002766846616,0.0004790152,-0.0015359999999999998,-0.0006183013698630137,8,"xyz:USAR,xyz:BE,xyz:NFLX,xyz:NOK,xyz:BB,xyz:MSTR,xyz:COIN,xyz:INTC,xyz:NBIS,xyz:QCOM"
2026-08-03 00:00:00+00:00,10,-0.002915798849863014,-0.0020825054800000004,0.0011290080000000001,-0.001344,-0.0006183013698630137,7,"xyz:BIRD,xyz:USAR,xyz:BE,xyz:NBIS,xyz:LITE,xyz:HIMS,xyz:HOOD,xyz:SNDK,xyz:MU,xyz:DKNG"
2026-08-10 00:00:00+00:00,10,-0.0006003622098630134,0.0018803255600000001,-0.0003263864,-0.0015359999999999998,-0.0006183013698630137,8,"xyz:URNM,xyz:BE,xyz:NOW,xyz:BB,xyz:AVGO,xyz:WDC,xyz:USAR,xyz:BABA,xyz:TSM,xyz:COIN"
2026-08-17 00:00:00+00:00,10,0.0009681880701369863,0.00172756864,0.0010109208,-0.001152,-0.0006183013698630137,6,"xyz:BE,xyz:AMAT,xyz:BIRD,xyz:LITE,xyz:GME,xyz:AVGO,xyz:XLE,xyz:USAR,xyz:URNM,xyz:RKLB"
2026-08-24 00:00:00+00:00,10,0.002905547406136986,0.0020733807759999996,0.002410468,-0.00096,-0.0006183013698630137,5,"xyz:URNM,xyz:RIVN,xyz:SMH,xyz:USAR,xyz:GME,xyz:ARM,xyz:XLE,xyz:AVGO,xyz:NOW,xyz:NOK"
2026-08-31 00:00:00+00:00,10,-0.002020476961863014,0.002097908408,-0.002540084,-0.00096,-0.0006183013698630137,5,"xyz:BIRD,xyz:NOK,xyz:SMH,xyz:URNM,xyz:QCOM,xyz:BE,xyz:RIVN,xyz:MSTR,xyz:CRCL,xyz:XLE"
2026-09-07 00:00:00+00:00,10,-0.0004500589458630134,0.000543150424,0.0005850920000000002,-0.00096,-0.0006183013698630137,5,"xyz:URNM,xyz:XLE,xyz:NOK,xyz:BIRD,xyz:HOOD,xyz:SOXL,xyz:USAR,xyz:RKLB,xyz:RIVN,xyz:HIMS"
2026-09-14 00:00:00+00:00,10,-0.0018600293458630138,0.002142544024,-0.002040272,-0.001344,-0.0006183013698630137,7,"xyz:SMH,xyz:XLE,xyz:EBAY,xyz:USAR,xyz:ORCL,xyz:GEV,xyz:QCOM,xyz:LLY,xyz:HIMS,xyz:NOW"
