symbol,date,close,volume,average_volume_20d,volume_ratio,return_5d,z_return,z_volume,anomaly_score,return_60d,z_momentum,fwd_5,fwd_20,fwd_60,label,event,first_trigger,direction,quiet,momentum,price_anomaly,volume_anomaly,institutional,fundamental,options,retail
AAPL,2025-01-21,222.64,98070400.0,51212370.0,1.9149748390867285,-0.05017064846416386,-1.8980326464164934,2.1517443093201103,4.049776955736604,-0.05605019927075394,,0.07015810276679835,0.09984728710025159,-0.1274254401724757,1.0,True,True,-1,False,,-1.8980326464164934,2.1517443093201103,,,,
AAPL,2025-03-10,227.48,72071200.0,45712490.0,1.5766194315820468,-0.04432214426752934,-1.4749212640778178,1.419324048543594,2.894245312621412,-0.0780952380952381,,-0.05925795674344991,-0.2023034992087216,-0.10840513451732015,0.0,True,True,-1,False,,-1.4749212640778178,1.419324048543594,,,,
AAPL,2025-04-24,208.37,47311000.0,78530345.0,0.6024550127724512,0.07257939980439598,1.5693266452911518,-1.0213768822048213,2.590703527495973,-0.12545118777805753,-0.9679936218351528,0.02375581897586021,-0.03364207899409699,0.02893890675241151,0.0,True,True,1,False,-0.9679936218351528,1.5693266452911518,-1.0213768822048213,,,,
AAPL,2025-05-23,195.27,78432900.0,52976495.0,1.480522635557524,-0.0756887247940925,-1.4693691612581081,1.0016278626790491,2.4709970239371573,-0.17711757269279393,-1.2823492278625177,0.03292876529932909,0.025759205203052193,0.15742305525682387,0.0,True,True,-1,False,-1.2823492278625177,-1.4693691612581081,1.0016278626790491,,,,
AAPL,2025-06-20,201.0,96813500.0,52326165.0,1.8501929197371907,0.009036144578313365,0.24657486583735477,1.9280961017802607,2.1746709676176152,-0.10167597765363123,-0.4598869847065586,0.0003980099502487455,0.05711442786069654,0.18482587064676625,1.0,True,True,1,False,-0.4598869847065586,0.24657486583735477,1.9280961017802607,,,,
AAPL,2025-06-30,205.17,91912800.0,53965820.0,1.7031669304756232,0.018213399503721917,0.42919679786090964,1.5771529226442025,2.006349720505112,-0.08361248827549239,-0.26005579793414196,0.023590193498074896,0.029731442218648096,0.22976068626017465,0.0,True,True,1,False,-0.26005579793414196,0.42919679786090964,1.5771529226442025,,,,
AAPL,2025-07-31,207.57,80698400.0,46022415.0,1.7534586135907906,-0.02895770958083832,-0.6162067141870691,1.7912078122163533,2.4074145264034224,0.04364221428930559,0.8710759522729836,0.0600279423808836,0.12039312039312033,0.2661752661752661,1.0,True,True,-1,False,0.8710759522729836,-0.6162067141870691,1.7912078122163533,,,,
AAPL,2025-08-21,224.9,30621200.0,62622065.0,0.48898419430914647,-0.03385170547297878,-0.734434647179109,-1.2877557358163711,2.02219038299548,0.12332051346086614,1.5147001624774599,0.034059582036460645,0.09159626500666951,0.2112494441974211,1.0,True,True,-1,False,1.5147001624774599,-0.734434647179109,-1.2877557358163711,,,,
AAPL,2025-09-10,226.79,83440800.0,47412440.0,1.7598925514063397,-0.048978907200067145,-1.0851919235923067,1.7459268126425744,2.831118736234881,0.1544413336726902,1.5676928849365015,0.05379425900612911,0.13788085894439805,0.23770889369019788,1.0,True,True,-1,False,1.5676928849365015,-1.0851919235923067,1.7459268126425744,,,,
AAPL,2025-09-19,245.5,163741300.0,49099910.0,3.334859473265837,0.04883154611868257,1.0054068992776304,5.512718287769254,6.518125187046884,0.21799960309585242,1.9973931838442938,0.04057026476578418,0.027657841140529493,0.11653767820773941,0.0,True,True,1,False,1.9973931838442938,1.0054068992776304,5.512718287769254,,,,
AAPL,2025-10-20,262.24,90483000.0,46879140.0,1.9301335306065768,0.05887103286764117,1.1960366008533871,2.0766009533963743,3.272637554249761,0.22610809799887788,1.684416096722848,0.0250533862111042,0.019905430140329416,-0.015367602196461383,0.0,True,True,1,False,1.684416096722848,1.1960366008533871,2.0766009533963743,,,,
AAPL,2025-10-30,271.4,69886500.0,44618735.0,1.5663039304005368,0.045535095153709904,0.8760818618758908,1.234412908881838,2.110494770757729,0.27268464243845236,1.8698840815532014,-0.0060058953574060325,0.02745025792188671,-0.055121591746499554,0.0,True,True,1,False,1.8698840815532014,0.8760818618758908,1.234412908881838,,,,
AAPL,2025-11-28,278.85,20135600.0,50674810.0,0.397349294452214,0.0473239436619719,0.9024285169576489,-1.4217891444300421,2.3242176613876913,0.16294102927683718,0.9334428057296512,-0.0002510310202619159,-0.01825354133046453,-0.02115832885063662,0.0,True,True,1,False,0.9334428057296512,0.9024285169576489,-1.4217891444300421,,,,
AAPL,2025-12-19,273.67,144632000.0,43601180.0,3.317157930129414,-0.016566048584159665,-0.41272443976277556,5.27071347413566,5.683437913898436,0.0654027328999105,0.16673278599973337,0.0003288632294369265,-0.09507801366609425,-0.09029122665984579,0.0,True,True,-1,False,0.16673278599973337,-0.41272443976277556,5.27071347413566,,,,
AAPL,2026-01-20,246.7,80267500.0,44608310.0,1.7993844644641324,-0.05206532180595591,-1.181662145224166,1.7881605825743894,2.9698227277985554,-0.04546333913716383,-0.6357452726682055,0.04689906769355501,0.0715443858937983,0.06769355492501017,1.0,True,True,-1,False,-0.6357452726682055,-1.181662145224166,1.7881605825743894,,,,
AAPL,2026-01-30,259.48,92443400.0,48743375.0,1.896532605713084,0.04612159329140475,0.9300056897454277,2.0348835624417947,2.9648892521872225,-0.03556959672923243,-0.5499411433249849,0.07183597965161082,0.020194234623092333,0.043278865423153956,0.0,True,True,1,False,-0.5499411433249849,0.9300056897454277,2.0348835624417947,,,,
AAPL,2026-02-12,261.73,81077200.0,56883770.0,1.4253134066184432,-0.051393570367148755,-1.189540641204878,0.9308581171754677,2.120398758380346,-0.03920560919202676,-0.5686236089589625,0.010889084170710106,-0.044358690253314514,0.11825163336262556,0.0,True,True,-1,False,-0.5686236089589625,-1.189540641204878,0.9308581171754677,,,,
AAPL,2026-03-20,247.99,88331100.0,39180385.0,2.2544724866792403,-0.00851591236206617,-0.2797281202771769,2.857701104819447,3.137429225096624,-0.0848064361368418,-0.8895814585702674,0.0032662607363200813,0.10105246179281413,0.20666155893382787,1.0,True,True,-1,False,-0.8895814585702674,-0.2797281202771769,2.857701104819447,,,,
AAPL,2026-04-30,271.35,91848200.0,40784515.0,2.2520360975237783,-0.007607065793804546,-0.36794196727277767,3.2486052929320133,3.616547260204791,0.006939290485379335,-0.35860980522283226,0.05929611203243024,0.1500276395798783,0.2532891100055277,1.0,True,True,-1,False,-0.35860980522283226,-0.36794196727277767,3.2486052929320133,,,,
AAPL,2026-06-08,301.54,77949100.0,47811570.0,1.6303396855614656,-0.01557245927328521,-0.7325800241821567,1.5643602609389025,2.2969402851210594,0.1789959336878324,0.9436503784998322,-0.01697950520660607,0.039298268886383214,0.07766797108178003,0.0,True,True,-1,False,0.9436503784998322,-0.7325800241821567,1.5643602609389025,,,,
AAPL,2026-06-25,275.15,107013700.0,53476590.0,2.0011317101557897,-0.07028214225375917,-2.273491410313324,2.4931694919415626,4.766660902254887,0.11563881117463404,0.24665568837951254,0.12167908413592587,0.2103216427403234,0.23198255497001652,1.0,True,True,-1,False,0.24665568837951254,-2.273491410313324,2.4931694919415626,,,,
AAPL,2026-07-23,321.66,40840800.0,64953415.0,0.6287706350774628,-0.03480765768469052,-1.1816786883608272,-0.8420880711264169,2.023766759487244,0.20197302044019283,0.9830503450412402,0.03659143194677594,-0.03220792140769757,,0.0,True,True,-1,False,0.9830503450412402,-1.1816786883608272,-0.8420880711264169,,,,
AAPL,2026-07-31,308.91,132489100.0,50810395.0,2.607519583345101,-0.07239805417092049,-2.1937517520942866,3.438886388617039,5.632638140711325,0.08702230980364556,-0.17960034072593903,0.014308374607490792,0.0349292674241688,,0.0,True,True,-1,False,-0.17960034072593903,-2.1937517520942866,3.438886388617039,,,,
AAPL,2026-09-09,315.34,65640000.0,39189070.0,1.6749568183169439,-0.030111032510072966,-1.0128803504059951,1.4747615562712375,2.487641906677233,0.0831587263421838,-0.13124623152040865,0.05413204794824655,,,,True,True,-1,False,-0.13124623152040865,-1.0128803504059951,1.4747615562712375,,,,
AAPL,2026-09-18,336.13,86588200.0,41201805.0,2.1015632688907684,0.011617058416348192,0.11407832396989241,2.4052503416065876,2.51932866557648,0.14688822164596704,0.4980202426189933,,,,,True,True,1,False,0.4980202426189933,0.11407832396989241,2.4052503416065876,,,,
AMAT,2025-01-21,192.87,7959100.0,6335195.0,1.2563307048954295,0.12881891607163753,2.7261825293533,0.6149226412953686,3.3411051706486683,0.05393442622950828,,-0.10380048737491576,-0.09752683154456365,-0.2835070254575621,0.0,True,True,1,False,,2.7261825293533,0.6149226412953686,,,,
AMAT,2025-02-14,169.2,12452800.0,6686245.0,1.862450448644942,-0.06000000000000005,-1.055571204202729,2.14129267364184,3.196863877844569,0.001894836570345726,,-0.0037234042553191404,-0.08120567375886512,0.02263593380614659,0.0,True,True,-1,False,,-1.055571204202729,2.14129267364184,,,,
AMAT,2025-02-27,156.64,9543600.0,6569135.0,1.4527940132148296,-0.11005056530878932,-1.9724053143267093,1.0831373523079593,3.0555426666346683,-0.08568760214802718,,-0.03255873340143001,-0.05720122574055142,0.0055541368743616815,0.0,True,True,-1,False,,-1.9724053143267093,1.0831373523079593,,,,
AMAT,2025-03-18,153.51,4282300.0,7313495.0,0.5855340025528151,0.044356758963194576,1.0623065623050914,-1.1190449782369543,2.1813515405420456,-0.0988023952095809,,0.0008468503680540973,-0.05250472281936036,0.13999088007295946,0.0,True,True,1,False,,1.0623065623050914,-1.1190449782369543,,,,
AMAT,2025-04-03,135.51,11779600.0,6539045.0,1.8014251316514873,-0.08240790899241612,-1.394880504275449,2.0148933065493666,3.4097738108248157,-0.23647734956051392,-2.2412556959231305,0.02014611467788363,0.1445649767544832,0.35606228322633027,1.0,True,True,-1,False,-2.2412556959231305,-1.394880504275449,2.0148933065493666,,,,
AMAT,2025-04-24,150.17,7609200.0,9857830.0,0.7718940172431458,0.08669223532817139,1.7932774816411667,-0.6023958587929065,2.3956733404340733,-0.13121203355510558,-0.28006291000774863,-0.008057534793900145,0.06892188852633696,0.24618765399214215,1.0,True,True,1,False,-0.28006291000774863,1.7932774816411667,-0.6023958587929065,,,,
AMAT,2025-05-12,167.99,11724100.0,6356250.0,1.8444995083579154,0.0865403272750791,1.6665310594536238,1.8098434813286228,3.4763745407822464,-0.08834861887447765,0.28316649439931535,-0.012203107327817153,0.03440680992916256,0.09024346687302809,0.0,True,True,1,False,0.28316649439931535,1.6665310594536238,1.8098434813286228,,,,
AMAT,2025-05-30,156.75,15273600.0,7215950.0,2.1166443780791164,-0.023486169947670166,-0.31224542964447644,2.3170260368979094,2.6292714665423857,0.009206798866855603,1.2534999508520968,0.06373205741626808,0.16791068580542268,0.04950558213716105,1.0,True,True,-1,False,1.2534999508520968,-0.31224542964447644,2.3170260368979094,,,,
AMAT,2025-06-10,173.77,5711600.0,8133710.0,0.7022133811016129,0.07437863237294429,1.3651815717864988,-0.6960331613563981,2.061214733142897,0.11634331234742401,2.17019358803146,0.0018415146457961828,0.13960982908442188,-0.06341716061460556,1.0,True,True,1,False,2.17019358803146,1.3651815717864988,-0.6960331613563981,,,,
AMAT,2025-07-31,180.06,11375400.0,5926070.0,1.9195520808900333,-0.04284499255794172,-0.769740472159067,1.9725223667321983,2.742262838891265,0.16460772265700796,0.9233651196695282,0.017160946351216344,-0.08213928690436512,0.2704098633788736,0.0,True,True,-1,False,0.9233651196695282,-0.769740472159067,1.9725223667321983,,,,
AMAT,2025-08-14,188.24,10992400.0,5934995.0,1.852132984105294,0.027791427791427736,0.5129691346421228,1.8366329772391752,2.349602111881298,0.1343859226226347,0.7259547652350086,-0.15087122821929455,-0.10858478538036542,0.22221631959201016,0.0,True,True,1,False,0.7259547652350086,0.5129691346421228,1.8366329772391752,,,,
AMAT,2025-09-17,178.13,9588300.0,6907250.0,1.3881501321075682,0.09001346224452345,1.6231272426011463,0.7029374847716838,2.32606472737283,0.03588043731100243,0.20186773838915692,0.13085948464604513,0.2776062426317858,0.5163644529276372,1.0,True,True,1,False,0.20186773838915692,1.6231272426011463,0.7029374847716838,,,,
AMAT,2025-10-17,224.99,5272800.0,9948185.0,0.5300263314363374,0.07163610383424635,1.1240600469130466,-0.966091530255781,2.0901515771688275,0.19599192005103117,1.1133327734236806,0.0167118538601716,0.004533534823769836,0.341792968576381,0.0,True,True,1,False,1.1133327734236806,1.1240600469130466,-0.966091530255781,,,,
AMAT,2025-11-13,223.23,13465900.0,6733265.0,1.9999064346940154,-0.04410568235344503,-0.8434527900702026,1.8570730445062955,2.700525834576498,0.38686630218687856,2.011677666714844,-0.013439053890606067,0.16117905299466906,0.5225552121130672,1.0,True,True,-1,False,2.011677666714844,-0.8434527900702026,1.8570730445062955,,,,
AMAT,2025-11-28,252.25,2916300.0,8621830.0,0.33824605681160497,0.14539345229986833,2.3833466588443186,-1.3416207836404266,3.724967442484745,0.59409757330637,2.8617279741751642,0.062438057482656184,0.04281466798810718,0.48947472745292386,0.0,True,True,1,False,2.8617279741751642,2.3833466588443186,-1.3416207836404266,,,,
AMAT,2025-12-19,256.41,25749700.0,7038710.0,3.65829818247946,-0.010802052389953909,-0.3486363525590224,5.0936360573032005,5.442272409862223,0.28461923847695414,0.9570990975074204,0.02589602589602591,0.26843726843726845,0.3931203931203928,1.0,True,True,-1,False,0.9570990975074204,-0.3486363525590224,5.0936360573032005,,,,
AMAT,2026-01-05,284.32,10398700.0,6111735.0,1.7014317538309498,0.08560519282168766,1.2421373331603223,1.2505281706543074,2.4926655038146297,0.3071582915728013,1.0119595561231982,0.08061339335959494,0.12081457512661808,0.24437253798536873,1.0,True,True,1,False,1.0119595561231982,1.2421373331603223,1.2505281706543074,,,,
AMAT,2026-02-04,297.6,14719400.0,7868550.0,1.8706623202496013,-0.11625835189309575,-2.188862182172912,1.5521102508614277,3.74097243303434,0.27435447265875923,0.6562654411929943,0.14206989247311808,0.16441532258064506,0.30739247311827933,1.0,True,True,-1,False,0.6562654411929943,-2.188862182172912,1.5521102508614277,,,,
AMAT,2026-03-04,357.76,5980400.0,8681115.0,0.6888976819221955,-0.0941638182048361,-1.8704961210556368,-0.6180141564976392,2.488510277553276,0.32779097387173395,0.6699380133328002,-0.01869968694096602,-0.011068872987477607,0.2579941860465116,0.0,True,True,-1,False,0.6699380133328002,-1.8704961210556368,-0.6180141564976392,,,,
AMAT,2026-03-20,357.06,17587900.0,6656735.0,2.642121099908589,0.04547184727549558,0.43870466934077956,2.9993656828403252,3.438070352181105,0.37855681247828277,0.8222292446751176,-0.05570492354226175,0.09679045538564957,0.5914132078642245,1.0,True,True,1,False,0.8222292446751176,0.43870466934077956,2.9993656828403252,,,,
AMAT,2026-03-30,323.12,6568100.0,6872295.0,0.9557360386886767,-0.1068852096520081,-2.0353011736957605,-0.12624315317489954,2.16154432687066,0.25732518775049606,0.2464335766720768,0.09652760584303044,0.1794689279524635,1.0673434018321366,1.0,True,True,-1,False,0.2464335766720768,-2.0353011736957605,-0.12624315317489954,,,,
AMAT,2026-04-28,381.11,10396200.0,5470515.0,1.9004060860814749,-0.03352521999340652,-0.9234628716584065,1.7701760974556378,2.693638969114044,0.18239637627202776,-0.2891503216758485,0.07795649549998673,0.17616960982393537,0.40707407310225396,1.0,True,True,-1,False,-0.2891503216758485,-0.9234628716584065,1.7701760974556378,,,,
AMAT,2026-05-06,428.62,7241200.0,5813230.0,1.245641407616764,0.12031156067853321,1.6263088478048076,0.45931601460191207,2.0856248624067195,0.29660888767885774,0.27452365868012907,0.01864122066165841,0.17050067658998636,0.20901964444029675,1.0,True,True,1,False,0.27452365868012907,1.6263088478048076,0.45931601460191207,,,,
AMAT,2026-05-27,448.25,5047600.0,7852855.0,0.6427725967180089,0.10159494728564056,1.3154613581958434,-0.7465384389447621,2.0619997971406057,0.20439034875597817,-0.3372624449872759,0.1171667596207473,0.49023982152816514,0.0983156720580034,1.0,True,True,1,False,-0.3372624449872759,1.3154613581958434,-0.7465384389447621,,,,
