universe,family,config,regime,seconds,n_rejections,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_exp_r,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_windows_with_trades,val_net_long,val_net_short,val_n_long,val_n_short,val_cost_share,val_maxdd,val_hold_min,devval_final_equity,devval_shadow_equity,devval_paused,devval_paused_at,devval_exposure,devval_acct_maxdd,trades_file,val_by_sym_net,val_syms_positive
crypto15,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=15m)",base,1.0,0,17,13.0,0.4772389572461755,0.0280728798380103,1.072202330913617,0.5294117647058824,7,6.0,0.0983822052067924,0.0140546007438274,0.0140546007438274,1.047318037099251,0.5714285714285714,"[-0.4814925768392693, 0.5625366984525185]",0.469,-0.8530072598258492,-0.8530072598258492,1,2,2,1.6304737012644226,-1.5320914960576302,4.0,3.0,0.3167704183184064,1.0808264352309134,199.28571428571428,100.57562116245296,100.57562116245296,False,,0.0829436377061284,5.0254858254197785,F1_ma_trend_14202865_base.parquet,"{'BTC': -1.13, 'ETH': 1.23}",1.0
crypto15,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=True, slow=40, tf=15m)",base,1.2,0,0,,0.0,,,,0,,0.0,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,
crypto15,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",base,0.8,0,7,6.0,-3.1375270630308965,-0.4482181518615566,0.3214876758378076,0.2857142857142857,7,6.0,0.5046134191692865,0.072087631309898,0.072087631309898,1.231108996242776,0.4285714285714285,"[-0.44681221561528867, 0.42352142708514845]",0.375,-1.2110854433313616,-0.3072057192490763,1,2,2,1.6817705026990402,-1.1771570835297536,4.0,3.0,0.2422235764276827,1.1752007785802416,195.0,97.3670863561384,97.3670863561384,False,,0.0423332512921486,3.8214208221350816,F1_ma_trend_1234827_base.parquet,"{'BTC': -1.2, 'ETH': 1.7}",1.0
crypto15,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=True, slow=80, tf=15m)",base,0.8,0,0,,0.0,,,,0,,0.0,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,
crypto15,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=False, tf=15m)",base,1.0,0,40,18.0,-10.901563704657876,-0.2725390926164469,0.4132254561074734,0.425,18,10.0,-2.062615540385773,-0.114589752243654,-0.114589752243654,0.6921706882136189,0.5555555555555556,"[-0.4166051159448143, 0.22560554665071195]",0.753,-4.184331759541818,-3.693311117119621,0,2,1,-2.394854137567845,0.3322385971820711,9.0,9.0,0.4969410068407141,4.846954521838687,74.16666666666667,89.69691704334626,87.03582075495638,True,2026-06-03 16:00:00+00:00,0.0642382476002953,10.30308295665374,F2_bb_mr_58089639_base.parquet,"{'BTC': -1.42, 'ETH': -0.64}",0.0
crypto15,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=True, tf=15m)",base,1.0,0,14,9.0,-1.4534626589585615,-0.1038187613541829,0.67604864802227,0.5,5,3.0,0.0417710529460269,0.0083542105892053,0.0083542105892053,1.041860472072975,0.8,,,-0.4516036636394667,-0.4516036636394667,1,2,1,-0.8459141365234193,0.8876851894694462,2.0,3.0,0.6379991662638843,0.9978638767667974,48.0,98.5883083939875,98.5883083939875,False,,0.0157519074575436,3.545167518689368,F2_bb_mr_41233371_base.parquet,"{'BTC': -0.11, 'ETH': 0.15}",1.0
crypto15,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=False, tf=15m)",base,1.0,0,21,14.0,-3.289502693091373,-0.1566429853853034,0.6386506606155021,0.5238095238095238,8,6.0,-3.9098372504329655,-0.4887296563041207,-0.4887296563041207,0.0744610698990237,0.375,"[-0.9014600805207424, -0.05264593148901225]",0.99,-4.185164536331203,-4.185164536331203,0,2,1,-1.6891453133298988,-2.2206919371030662,4.0,4.0,3.1880791503300485,3.909837250432965,69.375,92.80066005647568,92.80066005647568,False,,0.0347034211174009,7.243350621626604,F2_bb_mr_62797169_base.parquet,"{'BTC': -1.69, 'ETH': -2.22}",0.0
crypto15,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=True, tf=15m)",base,0.9,0,6,4.0,-0.3731010894173426,-0.0621835149028904,0.8211646697433345,0.5,0,,0.0,,,,,,,,,0,2,0,,,,,,,,99.62689891058268,99.62689891058268,False,,0.0059069652965788,2.086282888743881,F2_bb_mr_91805289_base.parquet,,
crypto15,F3,"F3:vol_comp_bo(pct=0.1, tf=15m, trail_atr=2.0)",base,1.0,0,5,5.0,2.9404645452649643,0.5880929090529928,4.359225221968749,0.6,0,,0.0,,,,,,,,,0,2,0,,,,,,,,102.94046454526496,102.94046454526496,False,,0.0130445483632783,0.6202193373978986,F3_vol_comp_bo_78810186_base.parquet,,
crypto15,F3,"F3:vol_comp_bo(pct=0.2, tf=15m, trail_atr=2.0)",base,1.0,0,6,6.0,2.960114663497947,0.4933524439163245,4.381673774490559,0.6666666666666666,2,1.0,-1.5348586910056303,-0.7674293455028152,-0.7674293455028152,0.0,0.0,,,-0.7676219804499493,0.0,0,2,1,-0.7676219804499494,-0.767236710555681,1.0,1.0,,1.5348586910056303,52.5,101.42525597249232,101.42525597249232,False,,0.0191976372138813,1.534858691005624,F3_vol_comp_bo_30220280_base.parquet,{'BTC': -1.53},0.0
crypto15,F4,"F4:channel_bo(atr_mult=1.5, n=12, tf=15m)",base,0.9,0,34,18.0,-9.306347489289228,-0.2737161026261537,0.5621874342849343,0.2647058823529412,16,10.0,3.3784825059620003,0.211155156622625,0.211155156622625,1.4092294047438023,0.375,"[-0.42336447488546725, 1.3093272240161318]",0.292,-0.3496410706877384,-0.3496410706877384,1,2,2,2.519381568761632,0.8591009372003686,8.0,8.0,0.197502433455966,3.2687871563172406,167.8125,92.3609689680342,94.0721350166728,True,2026-06-16 15:45:00+00:00,0.1171548117154811,10.71369104295519,F4_channel_bo_5598738_base.parquet,"{'BTC': 2.28, 'ETH': 1.1}",2.0
