universe,family,config,regime,seconds,n_rejections,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_exp_r,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_windows_with_trades,val_net_long,val_net_short,val_n_long,val_n_short,val_cost_share,val_maxdd,val_hold_min,devval_final_equity,devval_shadow_equity,devval_paused,devval_paused_at,devval_exposure,devval_acct_maxdd,trades_file,val_by_sym_net,val_syms_positive,is_base,trial_id,phase,mode,val_hold_days,val_funding,val_syms_n,val_syms_pos
stocks,F6,"F6:orb(or_min=30, target_r=2.0)",adverse,3.6,14.0,72,41.0,-8.150565465141353,-0.1132022981269632,0.7545470207136854,0.4444444444444444,34,26.0,-1.1657510768597397,-0.0342867963782276,-0.0342867963782276,0.8663267428190846,0.5,"[-0.2682887567556926, 0.20062386984220398]",0.597,-3.1150153056351786,-3.341392925452121,1.0,3.0,3.0,-3.4145872020272185,2.2488361251674784,15.0,19.0,0.2307569974079326,5.498550765399125,246.77310480490195,90.96407266185018,90.46797735238206,True,2026-06-05 14:37:31.823945+00:00,0.1427987324951446,10.2407910053617,F6_orb_91048706_adverse.parquet,"{'xyz:GOOGL': 1.01, 'xyz:META': -0.69, 'xyz:MU': 0.09, 'xyz:NVDA': -0.23, 'xyz:SNDK': -1.36}",2.0,,54,1-2,,,,,
stocks,F6,"F6:orb(or_min=30, target_r=None)",adverse,3.6,11.0,60,41.0,-12.453150846078058,-0.2075525141013009,0.6102050297301241,0.4166666666666667,29,26.0,-1.4375285101914723,-0.0495699486272921,-0.0495699486272921,0.821802069727055,0.5172413793103449,"[-0.2963497115335276, 0.24057645731717897]",0.623,-3.906979843122209,-3.906979843122209,1.0,3.0,3.0,-4.0845953691744405,2.6470668589829693,13.0,16.0,0.2113726182438213,5.5388486024601296,291.90997541666667,91.10367748720648,85.89361453811362,True,2026-06-05 14:37:31.823945+00:00,0.1437186956966165,10.12811221850268,F6_orb_1320256_adverse.parquet,"{'xyz:GOOGL': -0.59, 'xyz:META': -0.69, 'xyz:MU': -0.44, 'xyz:NVDA': 0.77, 'xyz:SNDK': -0.5}",1.0,,55,1-2,,,,,
stocks,F6,"F6:orb(or_min=60, target_r=2.0)",adverse,3.6,4.0,55,41.0,-1.2527139364539135,-0.0227766170264347,0.9437952547412158,0.4909090909090909,39,27.0,-9.551799657289708,-0.2449179399305053,-0.2449179399305053,0.4046296314634101,0.3846153846153846,"[-0.42492017436329316, -0.042245656711688985]",0.99,-10.92008369032171,-10.811788444393564,0.0,3.0,3.0,-4.082198518786181,-5.469601138503526,19.0,20.0,0.4622512571691549,9.551799657289708,193.16130884444445,91.48936593674702,88.87871271295602,True,2026-08-20 18:07:58.286565+00:00,0.1278748850045998,10.4665541859343,F6_orb_56923557_adverse.parquet,"{'xyz:GOOGL': -0.17, 'xyz:META': -0.68, 'xyz:MU': 0.3, 'xyz:NVDA': -0.79, 'xyz:SNDK': -8.22}",1.0,,56,1-2,,,,,
stocks,F6,"F6:orb(or_min=60, target_r=None)",adverse,3.6,4.0,51,41.0,-1.7582826232842028,-0.0344761298683177,0.918236499999012,0.4901960784313725,36,27.0,-9.901846381555824,-0.2750512883765507,-0.2750512883765507,0.3735720972593592,0.3888888888888889,"[-0.4624544702536071, -0.05480315713694287]",0.991,-11.482494937368871,-11.482494937368871,0.0,3.0,3.0,-3.919689764438055,-5.982156617117768,17.0,19.0,0.4787997871098223,9.901846381555824,210.92575702175924,91.89546115298516,88.02309730185962,True,2026-06-26 19:22:31.549136+00:00,0.1279771031380967,10.060458969696157,F6_orb_89930649_adverse.parquet,"{'xyz:GOOGL': 0.42, 'xyz:META': -1.73, 'xyz:MU': 0.46, 'xyz:NVDA': -1.42, 'xyz:SNDK': -7.63}",2.0,,57,1-2,,,,,
stocks,B0,B0:baseline_session_long(),adverse,3.7,92.0,43,42.0,2.887160807754099,0.0671432745989325,1.36849457364033,0.5116279069767442,26,26.0,-0.953639897180953,-0.0366784575838828,-0.0366784575838828,0.7443351441382907,0.3846153846153846,"[-0.16828340002447048, 0.090255427776279]",0.718,-1.9792005615659567,-1.9792005615659567,0.0,3.0,3.0,-0.953639897180953,0.0,26.0,0.0,0.14555672794809,1.6306981055876175,360.9113576557692,101.75709669993095,101.75709669993095,False,,0.1595625063886333,2.024795392896806,B0_baseline_session_long_5922197_adverse.parquet,"{'xyz:MU': -1.14, 'xyz:NVDA': 1.2, 'xyz:SNDK': -1.01}",1.0,,58,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=15m)",standard_fee,3.9,3.0,56,40.0,-15.230103523304642,-0.2719661343447258,0.5691408119911604,0.4464285714285714,28,25.0,-5.285050758550158,-0.1887518128053627,-0.1887518128053627,0.5074432868614842,0.5,"[-0.433098678784249, 0.06398959274993354]",0.912,-6.501843698557722,-6.501843698557722,1.0,3.0,3.0,-2.946353329786,-2.338697428764158,14.0,14.0,0.8317605587190396,6.655002206774232,294.9430443827381,88.79173048589018,79.1670357907515,True,2026-07-06 14:37:30.081300+00:00,0.1393233159562506,11.208269514109816,F1_ma_trend_39834940_standard_fee.parquet,"{'xyz:GOOGL': -1.8, 'xyz:META': 0.07, 'xyz:MU': 1.1, 'xyz:NVDA': -2.86, 'xyz:SNDK': -1.79}",2.0,,59,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=True, slow=40, tf=15m)",standard_fee,4.0,0.0,0,,0.0,,,,0,,0.0,,,,,,,,,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,60,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",standard_fee,3.9,1.0,41,32.0,-2.950024532515597,-0.071951817866234,0.8501722243603117,0.3902439024390244,25,23.0,-1.4761186514018636,-0.0590447460560745,-0.0590447460560745,0.8333776327221049,0.56,"[-0.3497861501252376, 0.25592013433301525]",0.63,-3.118032798881149,-3.118032798881149,1.0,3.0,3.0,-3.91336326455677,2.4372446131549066,11.0,14.0,0.6194216771299048,2.916487285014317,277.0676294113333,95.36162155714916,95.36162155714916,False,,0.1072268220382295,8.544520010937745,F1_ma_trend_35237887_standard_fee.parquet,"{'xyz:GOOGL': -1.0, 'xyz:META': -0.79, 'xyz:MU': -1.06, 'xyz:NVDA': 0.71, 'xyz:SNDK': 0.67}",2.0,,61,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=True, slow=80, tf=15m)",standard_fee,4.0,0.0,0,,0.0,,,,0,,0.0,,,,,,,,,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,62,1-2,,,,,
stocks,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=False, tf=15m)",standard_fee,4.8,23.0,94,42.0,-33.92852773205016,-0.3609417843835123,0.3420282475303737,0.3191489361702128,58,27.0,-20.666699694527576,-0.3563224085263375,-0.3563224085263375,0.2269265449591423,0.2241379310344827,"[-0.49818072167831445, -0.22548694743795472]",1.0,-21.82071986279429,-21.13285974119973,0.0,3.0,3.0,-7.182999360251372,-13.483700334276204,29.0,29.0,1.6397110802717745,20.97674082409644,73.95725181810344,90.02985809574868,45.40477257342236,True,2026-06-04 15:37:31.828487+00:00,0.0815700705305121,10.014059912831144,F2_bb_mr_28727861_standard_fee.parquet,"{'xyz:GOOGL': -5.09, 'xyz:META': -4.35, 'xyz:MU': -5.19, 'xyz:NVDA': -2.71, 'xyz:SNDK': -3.33}",0.0,,63,1-2,,,,,
stocks,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=True, tf=15m)",standard_fee,4.8,13.0,47,32.0,-18.34012781505128,-0.3902154854266229,0.2328759137529344,0.2978723404255319,32,22.0,-13.749122367899266,-0.4296600739968521,-0.4296600739968521,0.1167258015834516,0.21875,"[-0.6021194597733407, -0.2811041475070282]",1.0,-14.22924395780406,-14.03158341774567,0.0,3.0,3.0,-6.263078477293324,-7.486043890605943,18.0,14.0,3.49972119877027,13.749122367899268,54.421387469270826,88.73996973974867,67.91074981704948,True,2026-07-10 15:22:30.113825+00:00,0.0366963099253807,11.260030260251328,F2_bb_mr_70897870_standard_fee.parquet,"{'xyz:GOOGL': -3.57, 'xyz:META': -3.91, 'xyz:MU': -3.39, 'xyz:NVDA': -1.52, 'xyz:SNDK': -1.36}",0.0,,64,1-2,,,,,
stocks,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=False, tf=15m)",standard_fee,4.8,27.0,65,42.0,-11.953595024928358,-0.1839014619219747,0.6480039443434374,0.4,37,27.0,-9.433161045062452,-0.2549502985152014,-0.2549502985152014,0.5160770668789307,0.3513513513513513,"[-0.5564472786274043, 0.04331871210993167]",0.949,-11.63549141868096,-11.346212434392498,0.0,3.0,3.0,1.5260816262149346,-10.959242671277387,17.0,20.0,0.7198430560095772,9.794514115178735,80.22733180630632,89.88617959584046,78.61324393000916,True,2026-05-29 14:37:31.621709+00:00,0.0593887355616886,10.11382040415954,F2_bb_mr_87018847_standard_fee.parquet,"{'xyz:GOOGL': -3.49, 'xyz:META': -0.78, 'xyz:MU': -2.36, 'xyz:NVDA': 0.12, 'xyz:SNDK': -2.93}",1.0,,65,1-2,,,,,
stocks,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=True, tf=15m)",standard_fee,4.8,7.0,38,30.0,-14.676606219508228,-0.3862264794607428,0.2955390180224402,0.3157894736842105,23,20.0,-12.496070415319512,-0.543307409361718,-0.543307409361718,0.1047931969576305,0.2608695652173913,"[-0.8592487206962237, -0.2765285957778146]",1.0,-12.976192005224307,-12.955209452508967,0.0,3.0,3.0,-3.8854850968331225,-8.610585318486393,12.0,11.0,2.957984684904869,12.496070415319512,60.75799031376811,89.80648107935455,72.82732336517226,True,2026-06-26 16:37:40.006890+00:00,0.0309720944495553,10.193518920645444,F2_bb_mr_21772563_standard_fee.parquet,"{'xyz:GOOGL': -2.08, 'xyz:META': -1.95, 'xyz:MU': -1.9, 'xyz:NVDA': -2.38, 'xyz:SNDK': -4.18}",0.0,,66,1-2,,,,,
stocks,F3,"F3:vol_comp_bo(pct=0.1, tf=15m, trail_atr=2.0)",standard_fee,5.2,5.0,11,11.0,2.868517532130963,0.2607743211028148,2.031726615946554,0.7272727272727273,6,6.0,-1.5197361560353235,-0.2532893593392206,-0.2532893593392206,0.2573573533765735,0.5,"[-0.7321957946149785, 0.14683424193531716]",0.877,-1.992363587491202,-1.992363587491202,0.0,3.0,2.0,-0.1389517274689888,-1.3807844285663349,3.0,3.0,1.4018357714588785,1.905317481325255,175.16690594166667,101.34878137609562,101.34878137609562,False,,0.0258611877747112,1.905317481325256,F3_vol_comp_bo_9724871_standard_fee.parquet,"{'xyz:GOOGL': -0.63, 'xyz:MU': -0.12, 'xyz:NVDA': -0.8, 'xyz:SNDK': 0.03}",1.0,,67,1-2,,,,,
stocks,F3,"F3:vol_comp_bo(pct=0.2, tf=15m, trail_atr=2.0)",standard_fee,5.1,6.0,21,20.0,-5.3752614385341175,-0.2559648304063865,0.4735325701797833,0.4761904761904761,9,9.0,-2.220945577593697,-0.2467717308437441,-0.2467717308437441,0.2360650087854416,0.4444444444444444,"[-0.5915716693626141, 0.02400307562425421]",0.945,-2.693573009049575,-2.693573009049575,0.0,3.0,2.0,-0.4986488075059724,-1.7222967700877243,4.0,5.0,1.9447770706960752,2.220945577593697,178.4771929425926,92.40379298387217,92.40379298387217,False,,0.0415005621997342,7.596207016127835,F3_vol_comp_bo_82217119_standard_fee.parquet,"{'xyz:GOOGL': -0.57, 'xyz:MU': -0.14, 'xyz:NVDA': -0.8, 'xyz:SNDK': -0.71}",0.0,,68,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=1h)",standard_fee,4.5,3.0,24,24.0,-0.2737135656485625,-0.0114047319020234,0.950850170463933,0.4166666666666667,18,18.0,-0.124427498422048,-0.0069126388012248,-0.0069126388012248,0.9522678995205688,0.3888888888888889,"[-0.16214872224405757, 0.18494040650027868]",0.562,-1.3163680052330324,-1.3163680052330324,1.0,3.0,3.0,-0.8678875248967551,0.7434600264747072,11.0,7.0,0.6106723069946882,0.9618698935431444,250.3435572101852,99.60185893592934,99.60185893592934,False,,0.0664417867729735,3.589177645869725,F1_ma_trend_62455420_standard_fee.parquet,"{'xyz:GOOGL': 0.35, 'xyz:META': -0.38, 'xyz:MU': -0.09, 'xyz:NVDA': -0.24, 'xyz:SNDK': 0.24}",2.0,,69,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=True, slow=40, tf=1h)",standard_fee,4.6,0.0,0,,0.0,,,,0,,0.0,,,,,,,,,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,70,1-2,,,,,
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=1h)",standard_fee,4.7,3.0,19,19.0,0.3144693684706908,0.0165510193931942,1.1062074769032249,0.3684210526315789,8,8.0,-0.9933800212299472,-0.1241725026537434,-0.1241725026537434,0.0217455375177516,0.125,"[-0.22895993457984737, -0.03593040373916399]",1.0,-1.0154617835417985,-1.0154617835417985,0.0,3.0,3.0,-0.1143092603854263,-0.8790707608445207,2.0,6.0,27.616904859033724,0.9933800212299472,202.1096363083333,99.32108934724074,99.32108934724074,False,,0.0371051824593682,2.259480584484564,F1_ma_trend_98178410_standard_fee.parquet,"{'xyz:GOOGL': -0.49, 'xyz:META': -0.02, 'xyz:MU': -0.43, 'xyz:SNDK': -0.04}",0.0,,71,1-2,,,,,
