symbol,type,n_snapshots,first_snapshot,vol24h_median_30d,vol24h_p10_30d,vol24h_median_90d,days_vol_below_1m_30d,oi_usd_median_30d,impact_half_spread_bps_snapshot,fixture_vol24h,price_obs_total,price_obs_insession,insession_days,first_price_obs,max_leverage,sz_decimals,growth_mode,only_isolated,oi_cap,last_mid,est_cost_bps_per_side_150usd,min_order_units_ok,eligible,selected
xyz:MRNA,stock,37,2026-08-19,2959931.305,250577.473,3574371.73,5,2192158.4704,5.205570291777542,7724749.268199997,3522,699,27,2026-08-19,10,2,enabled,True,75000000.0,185.145,7.105570291777543,True,False,False
xyz:ARM,stock,130,2026-05-11,2428622.475,764756.803,2432525.69,5,4574434.0311,2.677642980935484,2405335.373100001,11298,2162,86,2026-05-11,10,2,enabled,True,50000000.0,311.87,4.577642980935484,True,False,False
xyz:RKLB,stock,139,2026-05-01,2371213.5599999996,530981.5480000001,2904522.415,6,10991937.088140002,2.224557140746108,4124753.6672099973,12138,2299,92,2026-05-01,10,2,enabled,True,50000000.0,71.801,4.1245571407461075,True,False,False
xyz:BB,stock,120,2026-05-26,2137164.17,238688.38200000004,2346760.7800000003,7,8775237.13488,6.9505503321242825,3152259.7175800023,11045,2136,85,2026-05-26,10,1,enabled,True,75000000.0,8.0413,8.850550332124282,True,False,False
xyz:BABA,stock,139,2026-05-01,1792307.245,345267.837,2237162.135,8,12109024.60149,2.55079208806955,3168665.7935600006,12138,2299,92,2026-05-01,10,3,enabled,True,50000000.0,110.43,4.45079208806955,True,False,False
xyz:TSM,stock,139,2026-05-01,1402969.345,434163.683,2098837.13,9,9468379.782230001,2.288525553162471,2261255.265030001,12138,2299,92,2026-05-01,10,3,enabled,True,50000000.0,444.155,4.188525553162471,True,False,False
xyz:WDC,stock,107,2026-06-08,1296847.895,416720.55000000005,1445958.955,11,2147719.91596,5.095269160686281,1194899.0904399997,9858,1902,76,2026-06-07,10,3,enabled,True,50000000.0,455.225,6.995269160686282,True,False,False
xyz:AMAT,stock,90,2026-06-27,1095297.5899999999,317754.16400000005,909519.15,14,1923191.1352,2.736494996450946,1015995.2537500001,8610,1639,65,2026-06-26,10,3,enabled,True,25000000.0,462.6,4.636494996450946,True,False,False
xyz:IREN,stock,42,2026-08-14,1069923.05,252927.668,831496.0349999999,13,1735892.9566000002,6.069976043233413,1186733.8484000005,3995,772,30,2026-08-14,10,1,enabled,True,25000000.0,45.3975,7.969976043233413,True,False,False
xyz:QCOM,stock,96,2026-06-21,890988.61,205480.53199999998,803693.44,16,5401924.6423,4.640188753440966,1662593.2949000008,8893,1712,68,2026-06-23,10,2,enabled,True,25000000.0,193.465,6.540188753440966,True,False,False
xyz:NFLX,stock,139,2026-05-01,856991.0700000001,258692.35900000003,1250548.085,18,3975942.6582039995,3.293807641633559,839126.0451650005,12138,2299,92,2026-05-01,10,3,enabled,True,50000000.0,71.415,5.193807641633559,True,False,False
xyz:HIMS,stock,139,2026-05-01,798941.2,210926.86300000004,1037331.91,18,2701907.23631,6.166224548952077,1418285.6717999997,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,28.3255,8.066224548952079,True,False,False
xyz:AAOI,stock,42,2026-08-14,714760.0349999999,255693.96000000002,714760.0349999999,20,1459157.7651999998,6.231556167617529,864279.8879,3994,771,30,2026-08-14,10,2,enabled,True,25000000.0,99.3435,8.131556167617529,True,False,False
xyz:LLY,stock,139,2026-05-01,620499.355,180235.87900000002,972896.58,22,6448607.70841,4.037280419189225,466870.75598,12138,2299,92,2026-05-01,10,4,enabled,True,25000000.0,1189.85,5.937280419189225,True,False,False
xyz:USAR,stock,139,2026-05-01,598688.0249999999,73572.223,612046.845,25,2073626.77115,5.262696254714697,957001.9523400001,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,15.3485,7.162696254714698,True,False,False
