asset,ref,theta,H,delay,fee,n_all,mean_all,t_all,win_all,total_all,sr_all,skew_all,kurt_all,n_dev,mean_dev,t_dev,win_dev,total_dev,sr_dev,skew_dev,kurt_dev,n_val,mean_val,t_val,win_val,total_val,sr_val,skew_val,kurt_val,gross_mean_all,hold_min_mean
gold,bn,1,6,1,hip3_standard,1974,-18.881250039491736,-37.567125360920336,0.0911854103343465,-37271.587577956685,-0.8455404523000282,-2.8011263987759984,81.85863769622739,1376,-19.155268215410917,-30.556676579056656,0.09883720930232558,-26357.64906440542,-0.8237527938500586,-3.5568975813728487,93.54033916930872,598,-18.25073330025295,-22.260238995175285,0.07357859531772576,-10913.938513551264,-0.9102888660214107,0.022419377475834296,25.855507890019425,0.11874996050826571,39.10456171864235
gold,bn,1,6,1,hip3_growth,1974,-2.6812500394917347,-5.33475570456828,0.36220871327254306,-5292.787577956684,-0.12007178372085887,-2.8011263987760002,81.85863769622742,1376,-2.955268215410915,-4.714273590281863,0.37136627906976744,-4066.4490644054194,-0.12708829871995586,-3.5568975813728487,93.54033916930872,598,-2.050733300252949,-2.501259134522694,0.3411371237458194,-1226.3385135512635,-0.10228409235335927,0.02241937747583362,25.855507890019425,0.11874996050826571,39.10456171864235
gold,bn,1,6,1,zero,1974,-0.8812500394917343,-1.7533812983069397,0.4412360688956434,-1739.5875779566836,-0.03946415387872894,-2.801126398775999,81.8586376962274,1376,-1.1552682154109157,-1.842895480417998,0.4433139534883721,-1589.64906440542,-0.04968113259438891,-3.5568975813728487,93.54033916930872,598,-0.2507333002529489,-0.30581692778351705,0.43645484949832775,-149.9385135512634,-0.012505784168020218,0.0224193774758342,25.855507890019418,0.11874996050826571,39.10456171864235
gold,bn,1,6,0,hip3_standard,3059,-18.715166864030444,-49.330289884352496,0.08564890487087283,-57249.69543706913,-0.8919159472201439,-1.8214006612497415,60.556585821754624,1802,-18.913771752134227,-38.258819545908096,0.07991120976692564,-34082.616697345875,-0.9012684590114404,-2.871235285876647,87.48938047947676,1257,-18.430452458013733,-31.139140361881424,0.09387430389817025,-23167.078739723263,-0.8782921078049264,-0.31640410135523805,21.815509570283044,0.284833135969555,37.32542199986924
gold,bn,1,6,0,hip3_growth,3059,-2.5151668640304448,-6.629591465123568,0.3543641712978097,-7693.89543706913,-0.11986628023391925,-1.8214006612497406,60.55658582175462,1802,-2.713771752134223,-5.489423532985714,0.36792452830188677,-4890.21669734587,-0.12931513170443118,-2.8712352858766477,87.48938047947674,1257,-2.230452458013732,-3.7684572486115835,0.3349244232299125,-2803.678739723261,-0.1062908680712162,-0.31640410135523894,21.81550957028306,0.284833135969555,37.32542199986924
gold,bn,1,6,0,zero,3059,-0.7151668640304449,-1.885069418542576,0.4377247466492318,-2187.695437069131,-0.03408298390211652,-1.8214006612497406,60.55658582175462,1802,-0.9137717521342226,-1.8483795315498939,0.4522752497225305,-1646.6166973458692,-0.04354253978143016,-2.8712352858766477,87.48938047947674,1257,-0.43045245801373255,-0.7272702360260471,0.41686555290373906,-541.0787397232618,-0.020512952545248417,-0.3164041013552381,21.815509570283044,0.284833135969555,37.32542199986924
gold,bn,1,12,1,hip3_standard,1533,-18.409756080158214,-27.116558881012125,0.11480756686236138,-28222.156070882542,-0.6925697185839208,-3.417511293306327,78.7265697230501,1079,-19.031213266710736,-21.88152507123694,0.11770157553290084,-20534.679114780884,-0.6661420746487917,-4.075142523663802,81.59761499095103,454,-16.932768625774585,-17.118485865576666,0.10792951541850221,-7687.476956101661,-0.8034103497927262,1.1405598499012732,15.075682029691071,0.5902439198417869,54.575606204250924
gold,bn,1,12,1,hip3_growth,1533,-2.209756080158213,-3.2548492548940806,0.395955642530985,-3387.5560708825406,-0.08313038694867537,-3.417511293306327,78.7265697230501,1079,-2.831213266710732,-3.2552451180773767,0.40222428174235403,-3054.87911478088,-0.09909984470400693,-4.075142523663804,81.59761499095104,454,-0.7327686257745822,-0.7408055729271743,0.381057268722467,-332.6769561016603,-0.03476772824111992,1.140559849901273,15.075682029691064,0.5902439198417869,54.575606204250924
gold,bn,1,12,1,zero,1533,-0.409756080158213,-0.6035481853254091,0.4598825831702544,-628.1560708825406,-0.015414905655870332,-3.417511293306327,78.7265697230501,1079,-1.0312132667107325,-1.1856584566152037,0.468952734012975,-1112.6791147808804,-0.036095152487919745,-4.075142523663804,81.59761499095104,454,1.0672313742254178,1.0789366818116577,0.43832599118942733,484.52304389833967,0.05063700748683632,1.140559849901273,15.075682029691064,0.5902439198417869,54.575606204250924
gold,bn,1,12,0,hip3_standard,2263,-18.12211664960523,-33.879122338787845,0.11975254087494476,-41010.349978056634,-0.7121801653463469,-1.542642779649508,39.037097510787575,1335,-18.497276193606666,-27.07528509979255,0.11161048689138577,-24693.863718464898,-0.7410242245025879,-2.691052303156892,59.76652922733564,928,-17.58242053835317,-20.497354780901418,0.1314655172413793,-16316.48625959174,-0.6728586348350862,-0.10621996407726751,13.878444570696457,0.8778833503947691,57.87914515799088
