friday,hl_weekend_bps,hl_reopen2h_bps,bn_weekend_bps,bn_reopen2h_bps,ok_weekend_bps,ok_reopen2h_bps,cme_gap_bps
2026-05-01,56.594346910290305,-64.17896999308358,,-72.58324665261247,58.71766630172669,-69.54896982476137,-9.949815039410463
2026-05-08,,,,,,,-67.76169653804449
2026-05-15,-8.591255071884634,-1.6530109632246426,-12.333132647952596,-37.55543337189459,-3.9634046164044294,-3.083734426797233,-9.468987517852081
2026-05-22,,108.84730461141581,,95.7114364672804,,106.58270327945607,28.117390227914708
2026-05-29,,,,,,,-2.844678440149718
2026-06-05,-26.347735817713758,51.59023266655172,-17.743220127599294,47.19944261336141,-27.720365641057313,56.514267410937904,30.72951735662696
2026-06-12,160.79897928563167,22.595457911862347,,15.281350993636016,156.5230954173398,20.965100799039277,177.19920404463417
2026-06-19,-3.8433360629712165,-28.269845298712532,0.9606251756023124,-29.244322592385917,1.2003937305835164,-33.42474135779523,
2026-06-26,-11.746425421009938,-54.26122473865203,40.95423317089423,-64.09106546150444,-7.3345153339960065,-54.19735168409593,-72.15832691489574
2026-07-03,-1.6746010900114854,-6.222403244959681,1.7702862288059857,-12.781802753391043,5.260829658499787,-12.917889482502083,
2026-07-10,-50.11383385178787,-33.95713430543991,-20.73238095445296,-46.34063225198542,-50.07972153207972,-33.9339225094819,-92.46033143901766
2026-07-17,,,,,,,-48.089715923760174
2026-07-24,,,,,,,119.36258195903704
2026-07-31,72.99840703651533,,,,66.0578994605582,,
2026-08-07,20.70465558995766,-33.378636455059166,25.375444728563537,-32.973013411706056,25.531341497850484,-31.98198851406305,-4.545144929215762
2026-08-14,,-9.138993290618032,,-8.742656041453632,,-6.849080778682959,-24.36835278260903
2026-08-21,,,,,,,75.65249249046975
2026-08-28,,-13.2218830188964,,-8.731092982224734,,-11.637667066272376,2.442137848543259
2026-09-04,,2.0349100187789166,,2.2362319359331115,,0.9035566253787821,-1.3404311856717988
2026-09-11,,,,,,,-25.773058014818012
2026-09-18,-16.68343014264509,,-17.471541825487638,,-15.071420822105042,,
