config,candles_n,candles_net,candles_pf,candles_stop_exits,candles_avg_stop_loss,sampled_n,sampled_net,sampled_pf,sampled_stop_exits,sampled_avg_stop_loss
"ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=15m)",29,-1.363416935475585,0.8722278163548932,8,-0.9976713321439228,25,-1.7174893707384071,0.8525413826049113,7,-1.3042662350510275
"ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=1h)",10,-1.4350983450202521,0.5077167199781852,1,-0.9967035066565388,10,-0.823060989526194,0.5171926858240921,0,
"bb_mr(k=2.0, max_bars=8, n=20, regime=False, tf=15m)",70,-15.926473154162569,0.4695989145462478,27,-0.9811026507415099,57,-14.276371992152598,0.42648412064345853,14,-1.1306738648432997
"vol_comp_bo(pct=0.2, tf=1h, trail_atr=2.0)",7,1.0666162952946658,1.915955332841748,0,,9,-1.4332706493967566,0.32238297705653884,1,-1.0722187544352149
"channel_bo(atr_mult=1.5, n=24, tf=15m)",47,-8.298334426829777,0.6968748309017964,26,-0.9928413498914731,43,1.1030591388876527,1.0508570366684276,15,-1.2126072978832252
"trend_pullback(defn=A, max_bars=16, target_r=2.0)",52,2.0762291621434583,1.119394953282599,13,-0.9968560931315581,41,-9.860417648303,0.5390453678681579,9,-1.874600724105595
"orb(or_min=30, target_r=2.0)",63,-10.704109999807182,0.6817681134881136,30,-0.9770802648957084,52,-17.401508327832925,0.4137958243415318,23,-1.1249344040544025
"orb(or_min=60, target_r=None)",45,-4.513247619048933,0.7971167382057709,19,-0.9971294517658763,39,-4.892531564199885,0.7700648443417756,15,-1.1579680138592168
