universe,family,config,regime,seconds,n_rejections,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_exp_r,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_windows_with_trades,val_net_long,val_net_short,val_n_long,val_n_short,val_cost_share,val_maxdd,val_hold_min,devval_final_equity,devval_shadow_equity,devval_paused,devval_paused_at,devval_exposure,devval_acct_maxdd,trades_file,val_by_sym_net,val_syms_positive,is_base,trial_id,adv_val_exp,adv_val_net,adv_val_pf,gate_pf,gate_adverse,gate_windows,gate_sample,gate_ex_best,gates_passed
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=15m)",base,4.4,3.0,56,40.0,-9.630495365718478,-0.1719731315306871,0.7295064476498627,0.5,28,25.0,-2.1941491454168456,-0.078362469479173,-0.078362469479173,0.7729465110579768,0.5714285714285714,"[-0.33615732281876853, 0.19300798183934742]",0.707,-3.612244767093703,-3.612244767093703,2,3,3.0,-1.143125332916236,-1.0510238125006095,14.0,14.0,0.1783898797503621,5.627441628948691,294.9430443827381,87.88247648965799,87.88879367842763,True,2026-07-17 14:09:43.481831+00:00,0.1393233159562506,12.11752351034201,F1_ma_trend_39834940_base.parquet,"{'xyz:GOOGL': -0.06, 'xyz:META': 0.52, 'xyz:MU': 1.43, 'xyz:NVDA': -2.5, 'xyz:SNDK': -1.59}",2.0,,1,-0.109173306253365,-3.05685257509422,0.6907561183111574,False,False,True,False,False,1
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=True, slow=40, tf=15m)",base,4.6,0.0,0,,0.0,,,,0,,0.0,,,,,,,,,0,3,0.0,,,,,,,,,,,,,,,,,,2,,0.0,,False,False,False,False,False,0
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",base,4.0,1.0,41,32.0,2.744471984154972,0.0669383410769505,1.1450750051195049,0.4146341463414634,25,23.0,1.975760837828666,0.0790304335131466,0.0790304335131466,1.241536586708777,0.64,"[-0.2428367555089937, 0.4203407564556283]",0.322,0.0720951220569616,0.0720951220569616,2,3,3.0,-2.868410423537557,4.844171261366223,11.0,14.0,0.1302788639338563,2.7838444377252047,277.0676294113333,104.5431664258943,104.5431664258943,False,,0.1072268220382295,7.802560194145229,F1_ma_trend_35237887_base.parquet,"{'xyz:GOOGL': 0.11, 'xyz:META': -0.25, 'xyz:MU': -0.52, 'xyz:NVDA': 1.85, 'xyz:SNDK': 0.78}",3.0,,3,0.0472209981308348,1.180524953270872,1.1442803206003884,False,True,True,False,True,3
stocks,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=True, slow=80, tf=15m)",base,4.4,0.0,0,,0.0,,,,0,,0.0,,,,,,,,,0,3,0.0,,,,,,,,,,,,,,,,,,4,,0.0,,False,False,False,False,False,0
stocks,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=False, tf=15m)",base,5.1,23.0,94,42.0,-22.843071676571306,-0.2430114008145883,0.5287124742271851,0.3936170212765957,58,27.0,-15.431321721609114,-0.2660572710622261,-0.2660572710622261,0.3727863304704643,0.293103448275862,"[-0.42670867710459554, -0.12179969514220342]",1.0,-16.693136088293876,-16.041221582462093,0,3,3.0,-4.514242571759503,-10.91707914984961,29.0,29.0,0.3434582093660005,16.064624486534818,73.95725181810344,89.1655639411883,61.72560660181964,True,2026-06-09 15:37:37.120195+00:00,0.0815700705305121,10.964115642252551,F2_bb_mr_28727861_base.parquet,"{'xyz:GOOGL': -3.7, 'xyz:META': -3.5, 'xyz:MU': -5.12, 'xyz:NVDA': -0.64, 'xyz:SNDK': -2.47}",0.0,,5,-0.2912576143249209,-16.892941630845414,0.3282360032235888,False,False,False,True,False,1
stocks,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=True, tf=15m)",base,4.9,13.0,47,32.0,-12.903259530996646,-0.2745374368297159,0.4116492330062207,0.3617021276595745,32,22.0,-10.61424641357863,-0.3316952004243322,-0.3316952004243322,0.2352027980684888,0.34375,"[-0.5263059637108367, -0.15854041597286034]",1.0,-11.353799244114525,-11.159854541756904,0,3,3.0,-4.197387691605569,-6.416858721973061,18.0,14.0,0.5962268953426685,10.66139443409877,54.421387469270826,89.3868610590833,76.48249405542467,True,2026-07-16 15:52:41.006023+00:00,0.0366963099253807,10.6131389409167,F2_bb_mr_70897870_base.parquet,"{'xyz:GOOGL': -2.99, 'xyz:META': -2.88, 'xyz:MU': -3.25, 'xyz:NVDA': -0.34, 'xyz:SNDK': -1.15}",0.0,,6,-0.356095459786538,-11.395054713169218,0.197813978176949,False,False,False,True,False,1
stocks,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=False, tf=15m)",base,4.7,27.0,65,42.0,-2.4485336622574563,-0.0376697486501147,0.9240723742338,0.4615384615384615,37,27.0,-4.677451929597535,-0.1264176197188523,-0.1264176197188523,0.7521266308528317,0.4324324324324324,"[-0.48581446182948096, 0.2130541499801974]",0.769,-7.434972017556927,-7.22637327387161,1,3,3.0,4.495474657534314,-9.172926587131847,17.0,20.0,0.1517946660794438,8.40653867107533,80.22733180630632,89.8640608302421,92.87401440814506,True,2026-06-29 14:37:30.528812+00:00,0.0593887355616886,10.135939169757904,F2_bb_mr_87018847_base.parquet,"{'xyz:GOOGL': -2.22, 'xyz:META': 0.4, 'xyz:MU': -2.09, 'xyz:NVDA': 1.44, 'xyz:SNDK': -2.2}",2.0,,7,-0.1544150735959678,-5.71335772305081,0.6954394331420771,False,False,False,True,False,1
stocks,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=True, tf=15m)",base,4.7,7.0,38,30.0,-9.560764193953013,-0.2515990577356056,0.4844403606710569,0.3684210526315789,23,20.0,-10.874007940768411,-0.4727829539464526,-0.4727829539464526,0.1850141478133611,0.3478260869565217,"[-0.8334681200272213, -0.1798515489549698]",1.0,-11.63199837649772,-11.63199837649772,0,3,3.0,-2.688508590021716,-8.185499350746694,12.0,11.0,0.5352455940356025,10.921155961288552,60.75799031376811,89.2906731556465,79.56522786527857,True,2026-07-10 15:22:30.113825+00:00,0.0309720944495553,10.709326844353498,F2_bb_mr_21772563_base.parquet,"{'xyz:GOOGL': -1.81, 'xyz:META': -1.59, 'xyz:MU': -1.74, 'xyz:NVDA': -1.43, 'xyz:SNDK': -4.3}",0.0,,8,-0.4865523145051471,-11.190703233618382,0.1615861873117693,False,False,False,False,False,0
stocks,F3,"F3:vol_comp_bo(pct=0.1, tf=15m, trail_atr=2.0)",base,5.2,5.0,11,11.0,3.463830603912979,0.3148936912648162,2.2736588825080486,0.7272727272727273,6,6.0,-1.109898506984898,-0.184983084497483,-0.184983084497483,0.4345127793914872,0.5,"[-0.7350299920437704, 0.2850784826456097]",0.747,-1.8546187313944644,-1.8546187313944644,0,3,2.0,0.2008788393729722,-1.3107773463578705,3.0,3.0,0.2735444106191936,1.918137954499784,175.16690594166667,102.35393209692808,102.35393209692808,False,,0.0258611877747112,1.918137954499784,F3_vol_comp_bo_9724871_base.parquet,"{'xyz:GOOGL': -0.6, 'xyz:MU': 0.01, 'xyz:NVDA': -0.57, 'xyz:SNDK': 0.05}",2.0,,9,-0.2064490360251895,-1.2386942161511374,0.3786535013832075,False,False,False,False,False,0
stocks,F3,"F3:vol_comp_bo(pct=0.2, tf=15m, trail_atr=2.0)",base,5.1,6.0,21,20.0,-3.673406696297992,-0.1749241283951424,0.6093390242306267,0.5238095238095238,9,9.0,-1.4015869547207749,-0.1557318838578638,-0.1557318838578638,0.4413573744680541,0.4444444444444444,"[-0.5283214389389879, 0.16121352074343848]",0.796,-2.146307179130341,-2.146307179130341,0,3,2.0,-0.0600690785497964,-1.341517876170978,4.0,5.0,0.3762966896392776,1.918137954499784,178.4771929425926,94.92500634898124,94.92500634898124,False,,0.0415005621997342,5.591544650797786,F3_vol_comp_bo_82217119_base.parquet,"{'xyz:GOOGL': -0.43, 'xyz:MU': -0.04, 'xyz:NVDA': -0.57, 'xyz:SNDK': -0.35}",0.0,,10,-0.1883693661510393,-1.695324295359354,0.3632441275384387,False,False,False,False,False,0
