t,true_range_bps,sampled_range_bps,n,close_diff_bps
2026-08-24 00:00:00+00:00,101.46197481898209,26.518470691324477,4,-5.99548033021371
2026-08-24 01:00:00+00:00,26.784889627782974,14.546965918536886,4,6.234413965088175
2026-08-24 02:00:00+00:00,26.317004478507464,23.31594256429308,4,-6.925527494344415
2026-08-24 03:00:00+00:00,40.298300060216064,16.211959794340764,4,1.3895965538005992
2026-08-24 04:00:00+00:00,24.974562945149405,14.337249098140887,4,8.324854315049802
2026-08-24 05:00:00+00:00,45.49041451979846,39.92015968063804,4,1.6246576614211852
2026-08-24 06:00:00+00:00,31.141064373692192,5.112712061353179,4,4.415524052986235
2026-08-24 07:00:00+00:00,32.57025870091144,22.101246975618572,4,5.118183510143944
2026-08-24 08:00:00+00:00,51.16517047304632,7.209637657565521,4,6.744499744173302
2026-08-24 09:00:00+00:00,24.643139442972107,11.159157483610409,4,-0.4649648951499933
2026-08-24 10:00:00+00:00,49.88577556063188,40.09510932910689,4,-2.0979999067563018
2026-08-24 11:00:00+00:00,92.73930468822726,78.0594650013986,4,-10.951626433032605
2026-08-24 12:00:00+00:00,60.3836685401079,48.53917971108812,4,8.12857076501516
2026-08-24 13:00:00+00:00,325.7966037015843,293.5985498950583,4,-19.557336386185682
2026-08-24 14:00:00+00:00,79.6375774916555,32.665712923223765,4,5.722460658083193
2026-08-24 15:00:00+00:00,91.30682898991896,75.13791135628745,4,14.742248430663984
2026-08-24 16:00:00+00:00,65.78320144913698,45.0471922966928,4,11.202211840975556
2026-08-24 17:00:00+00:00,49.13653277359036,37.9257704417525,4,-3.577902871864185
2026-08-24 18:00:00+00:00,54.443860738334514,32.47528535269148,4,5.9697215721858745
2026-08-24 19:00:00+00:00,90.66052669448776,77.948865544203,4,-27.821748932700746
2026-08-24 20:00:00+00:00,24.436990896022564,11.020603737421649,4,-11.499760421656957
2026-08-24 21:00:00+00:00,17.23560109158872,11.011634030736332,4,3.1119835304255146
2026-08-24 22:00:00+00:00,13.888888888889868,7.1839080459759215,4,1.1973180076617462
2026-08-24 23:00:00+00:00,17.237251615992992,8.139813263108255,4,-2.6334689968880447
2026-08-25 00:00:00+00:00,54.511547841055155,28.451202601254113,4,-6.933486348203597
